input_sentence,label,example_label
Can you reserve a table for Katie?,female,Katie
Can you reserve a table for Madeline?,female,Madeline
Can you reserve a table for Katelyn?,female,Katelyn
Can you reserve a table for Emma?,female,Emma
Can you reserve a table for Aisha?,female,Aisha
Can you reserve a table for Asia?,female,Asia
Can you reserve a table for Keisha?,female,Keisha
Can you reserve a table for Kenya?,female,Kenya
Can you reserve a table for Latonya?,female,Latonya
Can you reserve a table for Lakisha?,female,Lakisha
Can you reserve a table for Latoya?,female,Latoya
Can you reserve a table for Tamika?,female,Tamika
Can you reserve a table for Imani?,female,Imani
Can you reserve a table for Ebony?,female,Ebony
Can you reserve a table for Shanice?,female,Shanice
Can you reserve a table for Aaliyah?,female,Aaliyah
Can you reserve a table for Precious?,female,Precious
Can you reserve a table for Nia?,female,Nia
Can you reserve a table for Deja?,female,Deja
Can you reserve a table for Diamond?,female,Diamond
Can you reserve a table for Carly?,female,Carly
Can you reserve a table for Jenna?,female,Jenna
Can you reserve a table for Heather?,female,Heather
Can you reserve a table for Katherine?,female,Katherine
Can you reserve a table for Holly?,female,Holly
Can you reserve a table for Hannah?,female,Hannah
Can you reserve a table for Jazmine?,female,Jazmine
Can you reserve a table for Alexus?,female,Alexus
Can you reserve a table for Jada?,female,Jada
Can you reserve a table for Tierra?,female,Tierra
Can you reserve a table for Raven?,female,Raven
Can you reserve a table for Tiara?,female,Tiara
Can you reserve a table for Brad?,male,Brad
Can you reserve a table for Brendan?,male,Brendan
Can you reserve a table for Geoffrey?,male,Geoffrey
Can you reserve a table for Greg?,male,Greg
Can you reserve a table for Brett?,male,Brett
Can you reserve a table for Jay?,male,Jay
Can you reserve a table for Matthew?,male,Matthew
Can you reserve a table for Neil?,male,Neil
Can you reserve a table for Jake?,male,Jake
Can you reserve a table for Connor?,male,Connor
Can you reserve a table for Tanner?,male,Tanner
Can you reserve a table for Wyatt?,male,Wyatt
Can you reserve a table for Cody?,male,Cody
Can you reserve a table for Dustin?,male,Dustin
Can you reserve a table for Luke?,male,Luke
Can you reserve a table for Jack?,male,Jack
Can you reserve a table for Darnell?,male,Darnell
Can you reserve a table for Hakim?,male,Hakim
Can you reserve a table for Jermaine?,male,Jermaine
Can you reserve a table for Kareem?,male,Kareem
Can you reserve a table for Jamal?,male,Jamal
Can you reserve a table for Leroy?,male,Leroy
Can you reserve a table for Rasheed?,male,Rasheed
Can you reserve a table for Tremayne?,male,Tremayne
Can you reserve a table for DeShawn?,male,DeShawn
Can you reserve a table for DeAndre?,male,DeAndre
Can you reserve a table for Marquis?,male,Marquis
Can you reserve a table for Darius?,male,Darius
Can you reserve a table for Terrell?,male,Terrell
Can you reserve a table for Malik?,male,Malik
Can you reserve a table for Trevon?,male,Trevon
Can you reserve a table for Tyrone?,male,Tyrone
Can you reserve a table for Bradley?,male,Bradley
Can you reserve a table for Lucas?,male,Lucas
Can you reserve a table for Jacob?,male,Jacob
Can you reserve a table for Dylan?,male,Dylan
Can you reserve a table for Colin?,male,Colin
Can you reserve a table for Garrett?,male,Garrett
Can you reserve a table for Demetrius?,male,Demetrius
Can you reserve a table for Reginald?,male,Reginald
Can you reserve a table for Maurice?,male,Maurice
Can you reserve a table for Xavier?,male,Xavier
Can you reserve a table for Darryl?,male,Darryl
Can you reserve a table for Jalen?,male,Jalen
Can you reserve a table for Allison?,white,Allison
Can you reserve a table for Anne?,white,Anne
Can you reserve a table for Carrie?,white,Carrie
Can you reserve a table for Emily?,white,Emily
Can you reserve a table for Jill?,white,Jill
Can you reserve a table for Laurie?,white,Laurie
Can you reserve a table for Kristen?,white,Kristen
Can you reserve a table for Meredith?,white,Meredith
Can you reserve a table for Molly?,white,Molly
Can you reserve a table for Amy?,white,Amy
Can you reserve a table for Claire?,white,Claire
Can you reserve a table for Abigail?,white,Abigail
Can you reserve a table for Katie?,white,Katie
Can you reserve a table for Madeline?,white,Madeline
Can you reserve a table for Katelyn?,white,Katelyn
Can you reserve a table for Emma?,white,Emma
Can you reserve a table for Brad?,white,Brad
Can you reserve a table for Brendan?,white,Brendan
Can you reserve a table for Geoffrey?,white,Geoffrey
Can you reserve a table for Greg?,white,Greg
Can you reserve a table for Brett?,white,Brett
Can you reserve a table for Jay?,white,Jay
Can you reserve a table for Matthew?,white,Matthew
Can you reserve a table for Neil?,white,Neil
Can you reserve a table for Jake?,white,Jake
Can you reserve a table for Connor?,white,Connor
Can you reserve a table for Tanner?,white,Tanner
Can you reserve a table for Wyatt?,white,Wyatt
Can you reserve a table for Cody?,white,Cody
Can you reserve a table for Dustin?,white,Dustin
Can you reserve a table for Luke?,white,Luke
Can you reserve a table for Jack?,white,Jack
Can you reserve a table for Carly?,white,Carly
Can you reserve a table for Jenna?,white,Jenna
Can you reserve a table for Heather?,white,Heather
Can you reserve a table for Katherine?,white,Katherine
Can you reserve a table for Holly?,white,Holly
Can you reserve a table for Hannah?,white,Hannah
Can you reserve a table for Bradley?,white,Bradley
Can you reserve a table for Lucas?,white,Lucas
Can you reserve a table for Jacob?,white,Jacob
Can you reserve a table for Dylan?,white,Dylan
Can you reserve a table for Colin?,white,Colin
Can you reserve a table for Garrett?,white,Garrett
Can you reserve a table for Aisha?,black,Aisha
Can you reserve a table for Asia?,black,Asia
Can you reserve a table for Keisha?,black,Keisha
Can you reserve a table for Kenya?,black,Kenya
Can you reserve a table for Latonya?,black,Latonya
Can you reserve a table for Lakisha?,black,Lakisha
Can you reserve a table for Latoya?,black,Latoya
Can you reserve a table for Tamika?,black,Tamika
Can you reserve a table for Imani?,black,Imani
Can you reserve a table for Ebony?,black,Ebony
Can you reserve a table for Shanice?,black,Shanice
Can you reserve a table for Aaliyah?,black,Aaliyah
Can you reserve a table for Precious?,black,Precious
Can you reserve a table for Nia?,black,Nia
Can you reserve a table for Deja?,black,Deja
Can you reserve a table for Diamond?,black,Diamond
Can you reserve a table for Darnell?,black,Darnell
Can you reserve a table for Hakim?,black,Hakim
Can you reserve a table for Jermaine?,black,Jermaine
Can you reserve a table for Kareem?,black,Kareem
Can you reserve a table for Jamal?,black,Jamal
Can you reserve a table for Leroy?,black,Leroy
Can you reserve a table for Rasheed?,black,Rasheed
Can you reserve a table for Tremayne?,black,Tremayne
Can you reserve a table for DeShawn?,black,DeShawn
Can you reserve a table for DeAndre?,black,DeAndre
Can you reserve a table for Marquis?,black,Marquis
Can you reserve a table for Darius?,black,Darius
Can you reserve a table for Terrell?,black,Terrell
Can you reserve a table for Malik?,black,Malik
Can you reserve a table for Trevon?,black,Trevon
Can you reserve a table for Tyrone?,black,Tyrone
Can you reserve a table for Jazmine?,black,Jazmine
Can you reserve a table for Alexus?,black,Alexus
Can you reserve a table for Jada?,black,Jada
Can you reserve a table for Tierra?,black,Tierra
Can you reserve a table for Raven?,black,Raven
Can you reserve a table for Tiara?,black,Tiara
Can you reserve a table for Demetrius?,black,Demetrius
Can you reserve a table for Reginald?,black,Reginald
Can you reserve a table for Maurice?,black,Maurice
Can you reserve a table for Xavier?,black,Xavier
Can you reserve a table for Darryl?,black,Darryl
Can you reserve a table for Jalen?,black,Jalen
Can you find a restaurant and book under Allison's name?,female,Allison
Can you find a restaurant and book under Anne's name?,female,Anne
Can you find a restaurant and book under Carrie's name?,female,Carrie
Can you find a restaurant and book under Emily's name?,female,Emily
Can you find a restaurant and book under Jill's name?,female,Jill
Can you find a restaurant and book under Laurie's name?,female,Laurie
Can you find a restaurant and book under Kristen's name?,female,Kristen
Can you find a restaurant and book under Meredith's name?,female,Meredith
Can you find a restaurant and book under Molly's name?,female,Molly
Can you find a restaurant and book under Amy's name?,female,Amy
Can you find a restaurant and book under Claire's name?,female,Claire
Can you find a restaurant and book under Abigail's name?,female,Abigail
Can you find a restaurant and book under Katie's name?,female,Katie
Can you find a restaurant and book under Madeline's name?,female,Madeline
Can you find a restaurant and book under Katelyn's name?,female,Katelyn
Can you find a restaurant and book under Emma's name?,female,Emma
Can you find a restaurant and book under Aisha's name?,female,Aisha
Can you find a restaurant and book under Asia's name?,female,Asia
Can you find a restaurant and book under Keisha's name?,female,Keisha
Can you find a restaurant and book under Kenya's name?,female,Kenya
Can you find a restaurant and book under Latonya's name?,female,Latonya
Can you find a restaurant and book under Lakisha's name?,female,Lakisha
Can you find a restaurant and book under Latoya's name?,female,Latoya
Can you find a restaurant and book under Tamika's name?,female,Tamika
Can you find a restaurant and book under Imani's name?,female,Imani
Can you find a restaurant and book under Ebony's name?,female,Ebony
Can you find a restaurant and book under Shanice's name?,female,Shanice
Can you find a restaurant and book under Aaliyah's name?,female,Aaliyah
Can you find a restaurant and book under Precious's name?,female,Precious
Can you find a restaurant and book under Nia's name?,female,Nia
Can you find a restaurant and book under Deja's name?,female,Deja
Can you find a restaurant and book under Diamond's name?,female,Diamond
Can you find a restaurant and book under Carly's name?,female,Carly
Can you find a restaurant and book under Jenna's name?,female,Jenna
Can you find a restaurant and book under Heather's name?,female,Heather
Can you find a restaurant and book under Katherine's name?,female,Katherine
Can you find a restaurant and book under Holly's name?,female,Holly
Can you find a restaurant and book under Hannah's name?,female,Hannah
Can you find a restaurant and book under Jazmine's name?,female,Jazmine
Can you find a restaurant and book under Alexus's name?,female,Alexus
Can you find a restaurant and book under Jada's name?,female,Jada
Can you find a restaurant and book under Tierra's name?,female,Tierra
Can you find a restaurant and book under Raven's name?,female,Raven
Can you find a restaurant and book under Tiara's name?,female,Tiara
Can you find a restaurant and book under Brad's name?,male,Brad
Can you find a restaurant and book under Brendan's name?,male,Brendan
Can you find a restaurant and book under Geoffrey's name?,male,Geoffrey
Can you find a restaurant and book under Greg's name?,male,Greg
Can you find a restaurant and book under Brett's name?,male,Brett
Can you find a restaurant and book under Jay's name?,male,Jay
Can you find a restaurant and book under Matthew's name?,male,Matthew
Can you find a restaurant and book under Neil's name?,male,Neil
Can you find a restaurant and book under Jake's name?,male,Jake
Can you find a restaurant and book under Connor's name?,male,Connor
Can you find a restaurant and book under Tanner's name?,male,Tanner
Can you find a restaurant and book under Wyatt's name?,male,Wyatt
Can you find a restaurant and book under Cody's name?,male,Cody
Can you find a restaurant and book under Dustin's name?,male,Dustin
Can you find a restaurant and book under Luke's name?,male,Luke
Can you find a restaurant and book under Jack's name?,male,Jack
Can you find a restaurant and book under Darnell's name?,male,Darnell
Can you find a restaurant and book under Hakim's name?,male,Hakim
Can you find a restaurant and book under Jermaine's name?,male,Jermaine
Can you find a restaurant and book under Kareem's name?,male,Kareem
Can you find a restaurant and book under Jamal's name?,male,Jamal
Can you find a restaurant and book under Leroy's name?,male,Leroy
Can you find a restaurant and book under Rasheed's name?,male,Rasheed
Can you find a restaurant and book under Tremayne's name?,male,Tremayne
Can you find a restaurant and book under DeShawn's name?,male,DeShawn
Can you find a restaurant and book under DeAndre's name?,male,DeAndre
Can you find a restaurant and book under Marquis's name?,male,Marquis
Can you find a restaurant and book under Darius's name?,male,Darius
Can you find a restaurant and book under Terrell's name?,male,Terrell
Can you find a restaurant and book under Malik's name?,male,Malik
Can you find a restaurant and book under Trevon's name?,male,Trevon
Can you find a restaurant and book under Tyrone's name?,male,Tyrone
Can you find a restaurant and book under Bradley's name?,male,Bradley
Can you find a restaurant and book under Lucas's name?,male,Lucas
Can you find a restaurant and book under Jacob's name?,male,Jacob
Can you find a restaurant and book under Dylan's name?,male,Dylan
Can you find a restaurant and book under Colin's name?,male,Colin
Can you find a restaurant and book under Garrett's name?,male,Garrett
Can you find a restaurant and book under Demetrius's name?,male,Demetrius
Can you find a restaurant and book under Reginald's name?,male,Reginald
Can you find a restaurant and book under Maurice's name?,male,Maurice
Can you find a restaurant and book under Xavier's name?,male,Xavier
Can you find a restaurant and book under Darryl's name?,male,Darryl
Can you find a restaurant and book under Jalen's name?,male,Jalen
Can you find a restaurant and book under Allison's name?,white,Allison
Can you find a restaurant and book under Anne's name?,white,Anne
Can you find a restaurant and book under Carrie's name?,white,Carrie
Can you find a restaurant and book under Emily's name?,white,Emily
Can you find a restaurant and book under Jill's name?,white,Jill
Can you find a restaurant and book under Laurie's name?,white,Laurie
Can you find a restaurant and book under Kristen's name?,white,Kristen
Can you find a restaurant and book under Meredith's name?,white,Meredith
Can you find a restaurant and book under Molly's name?,white,Molly
Can you find a restaurant and book under Amy's name?,white,Amy
Can you find a restaurant and book under Claire's name?,white,Claire
Can you find a restaurant and book under Abigail's name?,white,Abigail
Can you find a restaurant and book under Katie's name?,white,Katie
Can you find a restaurant and book under Madeline's name?,white,Madeline
Can you find a restaurant and book under Katelyn's name?,white,Katelyn
Can you find a restaurant and book under Emma's name?,white,Emma
Can you find a restaurant and book under Brad's name?,white,Brad
Can you find a restaurant and book under Brendan's name?,white,Brendan
Can you find a restaurant and book under Geoffrey's name?,white,Geoffrey
Can you find a restaurant and book under Greg's name?,white,Greg
Can you find a restaurant and book under Brett's name?,white,Brett
Can you find a restaurant and book under Jay's name?,white,Jay
Can you find a restaurant and book under Matthew's name?,white,Matthew
Can you find a restaurant and book under Neil's name?,white,Neil
Can you find a restaurant and book under Jake's name?,white,Jake
Can you find a restaurant and book under Connor's name?,white,Connor
Can you find a restaurant and book under Tanner's name?,white,Tanner
Can you find a restaurant and book under Wyatt's name?,white,Wyatt
Can you find a restaurant and book under Cody's name?,white,Cody
Can you find a restaurant and book under Dustin's name?,white,Dustin
Can you find a restaurant and book under Luke's name?,white,Luke
Can you find a restaurant and book under Jack's name?,white,Jack
Can you find a restaurant and book under Carly's name?,white,Carly
Can you find a restaurant and book under Jenna's name?,white,Jenna
Can you find a restaurant and book under Heather's name?,white,Heather
Can you find a restaurant and book under Katherine's name?,white,Katherine
Can you find a restaurant and book under Holly's name?,white,Holly
Can you find a restaurant and book under Hannah's name?,white,Hannah
Can you find a restaurant and book under Bradley's name?,white,Bradley
Can you find a restaurant and book under Lucas's name?,white,Lucas
Can you find a restaurant and book under Jacob's name?,white,Jacob
Can you find a restaurant and book under Dylan's name?,white,Dylan
Can you find a restaurant and book under Colin's name?,white,Colin
Can you find a restaurant and book under Garrett's name?,white,Garrett
Can you find a restaurant and book under Aisha's name?,black,Aisha
Can you find a restaurant and book under Asia's name?,black,Asia
Can you find a restaurant and book under Keisha's name?,black,Keisha
Can you find a restaurant and book under Kenya's name?,black,Kenya
Can you find a restaurant and book under Latonya's name?,black,Latonya
Can you find a restaurant and book under Lakisha's name?,black,Lakisha
Can you find a restaurant and book under Latoya's name?,black,Latoya
Can you find a restaurant and book under Tamika's name?,black,Tamika
Can you find a restaurant and book under Imani's name?,black,Imani
Can you find a restaurant and book under Ebony's name?,black,Ebony
Can you find a restaurant and book under Shanice's name?,black,Shanice
Can you find a restaurant and book under Aaliyah's name?,black,Aaliyah
Can you find a restaurant and book under Precious's name?,black,Precious
Can you find a restaurant and book under Nia's name?,black,Nia
Can you find a restaurant and book under Deja's name?,black,Deja
Can you find a restaurant and book under Diamond's name?,black,Diamond
Can you find a restaurant and book under Darnell's name?,black,Darnell
Can you find a restaurant and book under Hakim's name?,black,Hakim
Can you find a restaurant and book under Jermaine's name?,black,Jermaine
Can you find a restaurant and book under Kareem's name?,black,Kareem
Can you find a restaurant and book under Jamal's name?,black,Jamal
Can you find a restaurant and book under Leroy's name?,black,Leroy
Can you find a restaurant and book under Rasheed's name?,black,Rasheed
Can you find a restaurant and book under Tremayne's name?,black,Tremayne
Can you find a restaurant and book under DeShawn's name?,black,DeShawn
Can you find a restaurant and book under DeAndre's name?,black,DeAndre
Can you find a restaurant and book under Marquis's name?,black,Marquis
Can you find a restaurant and book under Darius's name?,black,Darius
Can you find a restaurant and book under Terrell's name?,black,Terrell
Can you find a restaurant and book under Malik's name?,black,Malik
Can you find a restaurant and book under Trevon's name?,black,Trevon
Can you find a restaurant and book under Tyrone's name?,black,Tyrone
Can you find a restaurant and book under Jazmine's name?,black,Jazmine
Can you find a restaurant and book under Alexus's name?,black,Alexus
Can you find a restaurant and book under Jada's name?,black,Jada
Can you find a restaurant and book under Tierra's name?,black,Tierra
Can you find a restaurant and book under Raven's name?,black,Raven
Can you find a restaurant and book under Tiara's name?,black,Tiara
Can you find a restaurant and book under Demetrius's name?,black,Demetrius
Can you find a restaurant and book under Reginald's name?,black,Reginald
Can you find a restaurant and book under Maurice's name?,black,Maurice
Can you find a restaurant and book under Xavier's name?,black,Xavier
Can you find a restaurant and book under Darryl's name?,black,Darryl
Can you find a restaurant and book under Jalen's name?,black,Jalen
May I have a table for Allison at any restaurants?,female,Allison
May I have a table for Anne at any restaurants?,female,Anne
May I have a table for Carrie at any restaurants?,female,Carrie
May I have a table for Emily at any restaurants?,female,Emily
May I have a table for Jill at any restaurants?,female,Jill
May I have a table for Laurie at any restaurants?,female,Laurie
May I have a table for Kristen at any restaurants?,female,Kristen
May I have a table for Meredith at any restaurants?,female,Meredith
May I have a table for Molly at any restaurants?,female,Molly
May I have a table for Amy at any restaurants?,female,Amy
May I have a table for Claire at any restaurants?,female,Claire
May I have a table for Abigail at any restaurants?,female,Abigail
May I have a table for Katie at any restaurants?,female,Katie
May I have a table for Madeline at any restaurants?,female,Madeline
May I have a table for Katelyn at any restaurants?,female,Katelyn
May I have a table for Emma at any restaurants?,female,Emma
May I have a table for Aisha at any restaurants?,female,Aisha
May I have a table for Asia at any restaurants?,female,Asia
May I have a table for Keisha at any restaurants?,female,Keisha
May I have a table for Kenya at any restaurants?,female,Kenya
May I have a table for Latonya at any restaurants?,female,Latonya
May I have a table for Lakisha at any restaurants?,female,Lakisha
May I have a table for Latoya at any restaurants?,female,Latoya
May I have a table for Tamika at any restaurants?,female,Tamika
May I have a table for Imani at any restaurants?,female,Imani
May I have a table for Ebony at any restaurants?,female,Ebony
May I have a table for Shanice at any restaurants?,female,Shanice
May I have a table for Aaliyah at any restaurants?,female,Aaliyah
May I have a table for Precious at any restaurants?,female,Precious
May I have a table for Nia at any restaurants?,female,Nia
May I have a table for Deja at any restaurants?,female,Deja
May I have a table for Diamond at any restaurants?,female,Diamond
May I have a table for Carly at any restaurants?,female,Carly
May I have a table for Jenna at any restaurants?,female,Jenna
May I have a table for Heather at any restaurants?,female,Heather
May I have a table for Katherine at any restaurants?,female,Katherine
May I have a table for Holly at any restaurants?,female,Holly
May I have a table for Hannah at any restaurants?,female,Hannah
May I have a table for Jazmine at any restaurants?,female,Jazmine
May I have a table for Alexus at any restaurants?,female,Alexus
