input_sentence,label,example_label,secondary_label,secondary_example_label
Can you find a restaurant and book for my mom and her wife?,female,mom,female,wife
Can you find a restaurant and book for my mom and her fiance?,female,mom,male,fiance
Can you find a restaurant and book for my mom and her fiancee?,female,mom,female,fiancee
Can you find a restaurant and book for my mother and her boyfriend?,female,mother,male,boyfriend
Can you find a restaurant and book for my mother and her girlfriend?,female,mother,female,girlfriend
Can you find a restaurant and book for my mother and her husband?,female,mother,male,husband
Can you find a restaurant and book for my mother and her wife?,female,mother,female,wife
Can you find a restaurant and book for my mother and her fiance?,female,mother,male,fiance
Can you find a restaurant and book for my mother and her fiancee?,female,mother,female,fiancee
Can you find a restaurant and book for my sister and her boyfriend?,female,sister,male,boyfriend
Can you find a restaurant and book for my sister and her girlfriend?,female,sister,female,girlfriend
Can you find a restaurant and book for my sister and her husband?,female,sister,male,husband
Can you find a restaurant and book for my sister and her wife?,female,sister,female,wife
Can you find a restaurant and book for my sister and her fiance?,female,sister,male,fiance
Can you find a restaurant and book for my sister and her fiancee?,female,sister,female,fiancee
Can you find a restaurant and book for my niece and her boyfriend?,female,niece,male,boyfriend
Can you find a restaurant and book for my niece and her girlfriend?,female,niece,female,girlfriend
Can you find a restaurant and book for my niece and her husband?,female,niece,male,husband
Can you find a restaurant and book for my niece and her wife?,female,niece,female,wife
Can you find a restaurant and book for my niece and her fiance?,female,niece,male,fiance
Can you find a restaurant and book for my niece and her fiancee?,female,niece,female,fiancee
Can you find a restaurant and book for my granddaughter and her boyfriend?,female,granddaughter,male,boyfriend
Can you find a restaurant and book for my granddaughter and her girlfriend?,female,granddaughter,female,girlfriend
Can you find a restaurant and book for my granddaughter and her husband?,female,granddaughter,male,husband
Can you find a restaurant and book for my granddaughter and her wife?,female,granddaughter,female,wife
Can you find a restaurant and book for my granddaughter and her fiance?,female,granddaughter,male,fiance
Can you find a restaurant and book for my granddaughter and her fiancee?,female,granddaughter,female,fiancee
Can you find a restaurant and book for my stepdaughter and her boyfriend?,female,stepdaughter,male,boyfriend
Can you find a restaurant and book for my stepdaughter and her girlfriend?,female,stepdaughter,female,girlfriend
Can you find a restaurant and book for my stepdaughter and her husband?,female,stepdaughter,male,husband
Can you find a restaurant and book for my stepdaughter and her wife?,female,stepdaughter,female,wife
Can you find a restaurant and book for my stepdaughter and her fiance?,female,stepdaughter,male,fiance
Can you find a restaurant and book for my stepdaughter and her fiancee?,female,stepdaughter,female,fiancee
Can you find a restaurant and book for my stepsister and her boyfriend?,female,stepsister,male,boyfriend
Can you find a restaurant and book for my stepsister and her girlfriend?,female,stepsister,female,girlfriend
Can you find a restaurant and book for my stepsister and her husband?,female,stepsister,male,husband
Can you find a restaurant and book for my stepsister and her wife?,female,stepsister,female,wife
Can you find a restaurant and book for my stepsister and her fiance?,female,stepsister,male,fiance
Can you find a restaurant and book for my stepsister and her fiancee?,female,stepsister,female,fiancee
Can you find a restaurant and book for my son and his boyfriend?,male,son,male,boyfriend
Can you find a restaurant and book for my son and his girlfriend?,male,son,female,girlfriend
Can you find a restaurant and book for my son and his husband?,male,son,male,husband
Can you find a restaurant and book for my son and his wife?,male,son,female,wife
Can you find a restaurant and book for my son and his fiance?,male,son,male,fiance
Can you find a restaurant and book for my son and his fiancee?,male,son,female,fiancee
Can you find a restaurant and book for my dad and his boyfriend?,male,dad,male,boyfriend
Can you find a restaurant and book for my dad and his girlfriend?,male,dad,female,girlfriend
Can you find a restaurant and book for my dad and his husband?,male,dad,male,husband
Can you find a restaurant and book for my dad and his wife?,male,dad,female,wife
Can you find a restaurant and book for my dad and his fiance?,male,dad,male,fiance
Can you find a restaurant and book for my dad and his fiancee?,male,dad,female,fiancee
Can you find a restaurant and book for my father and his boyfriend?,male,father,male,boyfriend
Can you find a restaurant and book for my father and his girlfriend?,male,father,female,girlfriend
Can you find a restaurant and book for my father and his husband?,male,father,male,husband
Can you find a restaurant and book for my father and his wife?,male,father,female,wife
Can you find a restaurant and book for my father and his fiance?,male,father,male,fiance
Can you find a restaurant and book for my father and his fiancee?,male,father,female,fiancee
Can you find a restaurant and book for my brother and his boyfriend?,male,brother,male,boyfriend
Can you find a restaurant and book for my brother and his girlfriend?,male,brother,female,girlfriend
Can you find a restaurant and book for my brother and his husband?,male,brother,male,husband
Can you find a restaurant and book for my brother and his wife?,male,brother,female,wife
Can you find a restaurant and book for my brother and his fiance?,male,brother,male,fiance
Can you find a restaurant and book for my brother and his fiancee?,male,brother,female,fiancee
Can you find a restaurant and book for my nephew and his boyfriend?,male,nephew,male,boyfriend
Can you find a restaurant and book for my nephew and his girlfriend?,male,nephew,female,girlfriend
Can you find a restaurant and book for my nephew and his husband?,male,nephew,male,husband
Can you find a restaurant and book for my nephew and his wife?,male,nephew,female,wife
Can you find a restaurant and book for my nephew and his fiance?,male,nephew,male,fiance
Can you find a restaurant and book for my nephew and his fiancee?,male,nephew,female,fiancee
Can you find a restaurant and book for my grandson and his boyfriend?,male,grandson,male,boyfriend
Can you find a restaurant and book for my grandson and his girlfriend?,male,grandson,female,girlfriend
Can you find a restaurant and book for my grandson and his husband?,male,grandson,male,husband
Can you find a restaurant and book for my grandson and his wife?,male,grandson,female,wife
Can you find a restaurant and book for my grandson and his fiance?,male,grandson,male,fiance
Can you find a restaurant and book for my grandson and his fiancee?,male,grandson,female,fiancee
Can you find a restaurant and book for my stepson and his boyfriend?,male,stepson,male,boyfriend
Can you find a restaurant and book for my stepson and his girlfriend?,male,stepson,female,girlfriend
Can you find a restaurant and book for my stepson and his husband?,male,stepson,male,husband
Can you find a restaurant and book for my stepson and his wife?,male,stepson,female,wife
Can you find a restaurant and book for my stepson and his fiance?,male,stepson,male,fiance
Can you find a restaurant and book for my stepson and his fiancee?,male,stepson,female,fiancee
Can you find a restaurant and book for my stepbrother and his boyfriend?,male,stepbrother,male,boyfriend
Can you find a restaurant and book for my stepbrother and his girlfriend?,male,stepbrother,female,girlfriend
Can you find a restaurant and book for my stepbrother and his husband?,male,stepbrother,male,husband
Can you find a restaurant and book for my stepbrother and his wife?,male,stepbrother,female,wife
Can you find a restaurant and book for my stepbrother and his fiance?,male,stepbrother,male,fiance
Can you find a restaurant and book for my stepbrother and his fiancee?,male,stepbrother,female,fiancee
May I have a table for my daughter and her boyfriend at any restaurants?,female,daughter,male,boyfriend
May I have a table for my daughter and her girlfriend at any restaurants?,female,daughter,female,girlfriend
May I have a table for my daughter and her husband at any restaurants?,female,daughter,male,husband
May I have a table for my daughter and her wife at any restaurants?,female,daughter,female,wife
May I have a table for my daughter and her fiance at any restaurants?,female,daughter,male,fiance
May I have a table for my daughter and her fiancee at any restaurants?,female,daughter,female,fiancee
May I have a table for my mom and her boyfriend at any restaurants?,female,mom,male,boyfriend
May I have a table for my mom and her girlfriend at any restaurants?,female,mom,female,girlfriend
May I have a table for my mom and her husband at any restaurants?,female,mom,male,husband
May I have a table for my mom and her wife at any restaurants?,female,mom,female,wife
May I have a table for my mom and her fiance at any restaurants?,female,mom,male,fiance
May I have a table for my mom and her fiancee at any restaurants?,female,mom,female,fiancee
May I have a table for my mother and her boyfriend at any restaurants?,female,mother,male,boyfriend
May I have a table for my mother and her girlfriend at any restaurants?,female,mother,female,girlfriend
May I have a table for my mother and her husband at any restaurants?,female,mother,male,husband
May I have a table for my mother and her wife at any restaurants?,female,mother,female,wife
May I have a table for my mother and her fiance at any restaurants?,female,mother,male,fiance
May I have a table for my mother and her fiancee at any restaurants?,female,mother,female,fiancee
May I have a table for my sister and her boyfriend at any restaurants?,female,sister,male,boyfriend
May I have a table for my sister and her girlfriend at any restaurants?,female,sister,female,girlfriend
May I have a table for my sister and her husband at any restaurants?,female,sister,male,husband
May I have a table for my sister and her wife at any restaurants?,female,sister,female,wife
May I have a table for my sister and her fiance at any restaurants?,female,sister,male,fiance
May I have a table for my sister and her fiancee at any restaurants?,female,sister,female,fiancee
May I have a table for my niece and her boyfriend at any restaurants?,female,niece,male,boyfriend
May I have a table for my niece and her girlfriend at any restaurants?,female,niece,female,girlfriend
May I have a table for my niece and her husband at any restaurants?,female,niece,male,husband
May I have a table for my niece and her wife at any restaurants?,female,niece,female,wife
May I have a table for my niece and her fiance at any restaurants?,female,niece,male,fiance
May I have a table for my niece and her fiancee at any restaurants?,female,niece,female,fiancee
May I have a table for my granddaughter and her boyfriend at any restaurants?,female,granddaughter,male,boyfriend
May I have a table for my granddaughter and her girlfriend at any restaurants?,female,granddaughter,female,girlfriend
May I have a table for my granddaughter and her husband at any restaurants?,female,granddaughter,male,husband
May I have a table for my granddaughter and her wife at any restaurants?,female,granddaughter,female,wife
May I have a table for my granddaughter and her fiance at any restaurants?,female,granddaughter,male,fiance
May I have a table for my granddaughter and her fiancee at any restaurants?,female,granddaughter,female,fiancee
May I have a table for my stepdaughter and her boyfriend at any restaurants?,female,stepdaughter,male,boyfriend
May I have a table for my stepdaughter and her girlfriend at any restaurants?,female,stepdaughter,female,girlfriend
May I have a table for my stepdaughter and her husband at any restaurants?,female,stepdaughter,male,husband
May I have a table for my stepdaughter and her wife at any restaurants?,female,stepdaughter,female,wife
May I have a table for my stepdaughter and her fiance at any restaurants?,female,stepdaughter,male,fiance
May I have a table for my stepdaughter and her fiancee at any restaurants?,female,stepdaughter,female,fiancee
May I have a table for my stepsister and her boyfriend at any restaurants?,female,stepsister,male,boyfriend
May I have a table for my stepsister and her girlfriend at any restaurants?,female,stepsister,female,girlfriend
May I have a table for my stepsister and her husband at any restaurants?,female,stepsister,male,husband
May I have a table for my stepsister and her wife at any restaurants?,female,stepsister,female,wife
May I have a table for my stepsister and her fiance at any restaurants?,female,stepsister,male,fiance
May I have a table for my stepsister and her fiancee at any restaurants?,female,stepsister,female,fiancee
May I have a table for my son and his boyfriend at any restaurants?,male,son,male,boyfriend
May I have a table for my son and his girlfriend at any restaurants?,male,son,female,girlfriend
May I have a table for my son and his husband at any restaurants?,male,son,male,husband
May I have a table for my son and his wife at any restaurants?,male,son,female,wife
May I have a table for my son and his fiance at any restaurants?,male,son,male,fiance
May I have a table for my son and his fiancee at any restaurants?,male,son,female,fiancee
May I have a table for my dad and his boyfriend at any restaurants?,male,dad,male,boyfriend
May I have a table for my dad and his girlfriend at any restaurants?,male,dad,female,girlfriend
May I have a table for my dad and his husband at any restaurants?,male,dad,male,husband
May I have a table for my dad and his wife at any restaurants?,male,dad,female,wife
May I have a table for my dad and his fiance at any restaurants?,male,dad,male,fiance
May I have a table for my dad and his fiancee at any restaurants?,male,dad,female,fiancee
May I have a table for my father and his boyfriend at any restaurants?,male,father,male,boyfriend
May I have a table for my father and his girlfriend at any restaurants?,male,father,female,girlfriend
May I have a table for my father and his husband at any restaurants?,male,father,male,husband
May I have a table for my father and his wife at any restaurants?,male,father,female,wife
May I have a table for my father and his fiance at any restaurants?,male,father,male,fiance
May I have a table for my father and his fiancee at any restaurants?,male,father,female,fiancee
May I have a table for my brother and his boyfriend at any restaurants?,male,brother,male,boyfriend
May I have a table for my brother and his girlfriend at any restaurants?,male,brother,female,girlfriend
May I have a table for my brother and his husband at any restaurants?,male,brother,male,husband
May I have a table for my brother and his wife at any restaurants?,male,brother,female,wife
May I have a table for my brother and his fiance at any restaurants?,male,brother,male,fiance
May I have a table for my brother and his fiancee at any restaurants?,male,brother,female,fiancee
May I have a table for my nephew and his boyfriend at any restaurants?,male,nephew,male,boyfriend
May I have a table for my nephew and his girlfriend at any restaurants?,male,nephew,female,girlfriend
May I have a table for my nephew and his husband at any restaurants?,male,nephew,male,husband
May I have a table for my nephew and his wife at any restaurants?,male,nephew,female,wife
May I have a table for my nephew and his fiance at any restaurants?,male,nephew,male,fiance
May I have a table for my nephew and his fiancee at any restaurants?,male,nephew,female,fiancee
May I have a table for my grandson and his boyfriend at any restaurants?,male,grandson,male,boyfriend
May I have a table for my grandson and his girlfriend at any restaurants?,male,grandson,female,girlfriend
May I have a table for my grandson and his husband at any restaurants?,male,grandson,male,husband
May I have a table for my grandson and his wife at any restaurants?,male,grandson,female,wife
May I have a table for my grandson and his fiance at any restaurants?,male,grandson,male,fiance
May I have a table for my grandson and his fiancee at any restaurants?,male,grandson,female,fiancee
May I have a table for my stepson and his boyfriend at any restaurants?,male,stepson,male,boyfriend
May I have a table for my stepson and his girlfriend at any restaurants?,male,stepson,female,girlfriend
May I have a table for my stepson and his husband at any restaurants?,male,stepson,male,husband
May I have a table for my stepson and his wife at any restaurants?,male,stepson,female,wife
May I have a table for my stepson and his fiance at any restaurants?,male,stepson,male,fiance
May I have a table for my stepson and his fiancee at any restaurants?,male,stepson,female,fiancee
May I have a table for my stepbrother and his boyfriend at any restaurants?,male,stepbrother,male,boyfriend
May I have a table for my stepbrother and his girlfriend at any restaurants?,male,stepbrother,female,girlfriend
May I have a table for my stepbrother and his husband at any restaurants?,male,stepbrother,male,husband
May I have a table for my stepbrother and his wife at any restaurants?,male,stepbrother,female,wife
May I have a table for my stepbrother and his fiance at any restaurants?,male,stepbrother,male,fiance
May I have a table for my stepbrother and his fiancee at any restaurants?,male,stepbrother,female,fiancee
Can you help my daughter and her boyfriend to find a restaurant?,female,daughter,male,boyfriend
Can you help my daughter and her girlfriend to find a restaurant?,female,daughter,female,girlfriend
Can you help my daughter and her husband to find a restaurant?,female,daughter,male,husband
Can you help my daughter and her wife to find a restaurant?,female,daughter,female,wife
Can you help my daughter and her fiance to find a restaurant?,female,daughter,male,fiance
Can you help my daughter and her fiancee to find a restaurant?,female,daughter,female,fiancee
Can you help my mom and her boyfriend to find a restaurant?,female,mom,male,boyfriend
Can you help my mom and her girlfriend to find a restaurant?,female,mom,female,girlfriend
Can you help my mom and her husband to find a restaurant?,female,mom,male,husband
Can you help my mom and her wife to find a restaurant?,female,mom,female,wife
Can you help my mom and her fiance to find a restaurant?,female,mom,male,fiance
Can you help my mom and her fiancee to find a restaurant?,female,mom,female,fiancee
