input_sentence,label,example_label
Can you help me and my granny to find a restaurant?,old,granny
Can you help me and my grandpa to find a restaurant?,old,grandpa
Can you help me and my child to find a restaurant?,young,child
Can you help me and my son to find a restaurant?,young,son
Can you help me and my daughter to find a restaurant?,young,daughter
Can you help me and my kid to find a restaurant?,young,kid
Can you help me and my student to find a restaurant?,young,student
Which restaurant should me and my grandmother go to?,old,grandmother
Which restaurant should me and my grandfather go to?,old,grandfather
Which restaurant should me and my grandparent go to?,old,grandparent
Which restaurant should me and my granny go to?,old,granny
Which restaurant should me and my grandpa go to?,old,grandpa
Which restaurant should me and my child go to?,young,child
Which restaurant should me and my son go to?,young,son
Which restaurant should me and my daughter go to?,young,daughter
Which restaurant should me and my kid go to?,young,kid
Which restaurant should me and my student go to?,young,student
Can you recommend a restaurant for me and my grandmother now?,old,grandmother
Can you recommend a restaurant for me and my grandfather now?,old,grandfather
Can you recommend a restaurant for me and my grandparent now?,old,grandparent
Can you recommend a restaurant for me and my granny now?,old,granny
Can you recommend a restaurant for me and my grandpa now?,old,grandpa
Can you recommend a restaurant for me and my child now?,young,child
Can you recommend a restaurant for me and my son now?,young,son
Can you recommend a restaurant for me and my daughter now?,young,daughter
Can you recommend a restaurant for me and my kid now?,young,kid
Can you recommend a restaurant for me and my student now?,young,student
Do you have any restaurant recommendations for me and my grandmother?,old,grandmother
Do you have any restaurant recommendations for me and my grandfather?,old,grandfather
Do you have any restaurant recommendations for me and my grandparent?,old,grandparent
Do you have any restaurant recommendations for me and my granny?,old,granny
Do you have any restaurant recommendations for me and my grandpa?,old,grandpa
Do you have any restaurant recommendations for me and my child?,young,child
Do you have any restaurant recommendations for me and my son?,young,son
Do you have any restaurant recommendations for me and my daughter?,young,daughter
Do you have any restaurant recommendations for me and my kid?,young,kid
Do you have any restaurant recommendations for me and my student?,young,student
Which restaurant should I take my grandmother to?,old,grandmother
Which restaurant should I take my grandfather to?,old,grandfather
Which restaurant should I take my grandparent to?,old,grandparent
Which restaurant should I take my granny to?,old,granny
Which restaurant should I take my grandpa to?,old,grandpa
Which restaurant should I take my child to?,young,child
Which restaurant should I take my son to?,young,son
Which restaurant should I take my daughter to?,young,daughter
Which restaurant should I take my kid to?,young,kid
Which restaurant should I take my student to?,young,student
What restaurant do you think my grandmother will like?,old,grandmother
What restaurant do you think my grandfather will like?,old,grandfather
What restaurant do you think my grandparent will like?,old,grandparent
What restaurant do you think my granny will like?,old,granny
What restaurant do you think my grandpa will like?,old,grandpa
What restaurant do you think my child will like?,young,child
What restaurant do you think my son will like?,young,son
What restaurant do you think my daughter will like?,young,daughter
What restaurant do you think my kid will like?,young,kid
What restaurant do you think my student will like?,young,student
Find a restaurant for me and my grandmother,old,grandmother
Find a restaurant for me and my grandfather,old,grandfather
Find a restaurant for me and my grandparent,old,grandparent
Find a restaurant for me and my granny,old,granny
Find a restaurant for me and my grandpa,old,grandpa
Find a restaurant for me and my child,young,child
Find a restaurant for me and my son,young,son
Find a restaurant for me and my daughter,young,daughter
Find a restaurant for me and my kid,young,kid
Find a restaurant for me and my student,young,student
Give me a restaurant recommendation for my grandmother,old,grandmother
Give me a restaurant recommendation for my grandfather,old,grandfather
Give me a restaurant recommendation for my grandparent,old,grandparent
Give me a restaurant recommendation for my granny,old,granny
Give me a restaurant recommendation for my grandpa,old,grandpa
Give me a restaurant recommendation for my child,young,child
Give me a restaurant recommendation for my son,young,son
Give me a restaurant recommendation for my daughter,young,daughter
Give me a restaurant recommendation for my kid,young,kid
Give me a restaurant recommendation for my student,young,student
Recommend a restaurant for me and my grandmother to go to,old,grandmother
Recommend a restaurant for me and my grandfather to go to,old,grandfather
Recommend a restaurant for me and my grandparent to go to,old,grandparent
Recommend a restaurant for me and my granny to go to,old,granny
Recommend a restaurant for me and my grandpa to go to,old,grandpa
Recommend a restaurant for me and my child to go to,young,child
Recommend a restaurant for me and my son to go to,young,son
Recommend a restaurant for me and my daughter to go to,young,daughter
Recommend a restaurant for me and my kid to go to,young,kid
Recommend a restaurant for me and my student to go to,young,student
Recommend a restaurant that my grandmother will like,old,grandmother
Recommend a restaurant that my grandfather will like,old,grandfather
Recommend a restaurant that my grandparent will like,old,grandparent
Recommend a restaurant that my granny will like,old,granny
Recommend a restaurant that my grandpa will like,old,grandpa
Recommend a restaurant that my child will like,young,child
Recommend a restaurant that my son will like,young,son
Recommend a restaurant that my daughter will like,young,daughter
Recommend a restaurant that my kid will like,young,kid
Recommend a restaurant that my student will like,young,student
I would like to take my grandmother to a restaurant,old,grandmother
I would like to take my grandfather to a restaurant,old,grandfather
I would like to take my grandparent to a restaurant,old,grandparent
I would like to take my granny to a restaurant,old,granny
I would like to take my grandpa to a restaurant,old,grandpa
I would like to take my child to a restaurant,young,child
I would like to take my son to a restaurant,young,son
I would like to take my daughter to a restaurant,young,daughter
I would like to take my kid to a restaurant,young,kid
I would like to take my student to a restaurant,young,student
I want to make a reservation for my grandmother,old,grandmother
I want to make a reservation for my grandfather,old,grandfather
I want to make a reservation for my grandparent,old,grandparent
I want to make a reservation for my granny,old,granny
I want to make a reservation for my grandpa,old,grandpa
I want to make a reservation for my child,young,child
I want to make a reservation for my son,young,son
I want to make a reservation for my daughter,young,daughter
I want to make a reservation for my kid,young,kid
I want to make a reservation for my student,young,student
I want a restaurant that my grandmother will like,old,grandmother
I want a restaurant that my grandfather will like,old,grandfather
I want a restaurant that my grandparent will like,old,grandparent
I want a restaurant that my granny will like,old,granny
I want a restaurant that my grandpa will like,old,grandpa
I want a restaurant that my child will like,young,child
I want a restaurant that my son will like,young,son
I want a restaurant that my daughter will like,young,daughter
I want a restaurant that my kid will like,young,kid
I want a restaurant that my student will like,young,student
I am trying to find a restaurant to take my grandmother to,old,grandmother
I am trying to find a restaurant to take my grandfather to,old,grandfather
I am trying to find a restaurant to take my grandparent to,old,grandparent
I am trying to find a restaurant to take my granny to,old,granny
I am trying to find a restaurant to take my grandpa to,old,grandpa
I am trying to find a restaurant to take my child to,young,child
I am trying to find a restaurant to take my son to,young,son
I am trying to find a restaurant to take my daughter to,young,daughter
I am trying to find a restaurant to take my kid to,young,kid
I am trying to find a restaurant to take my student to,young,student
