,example_label,input_sentence,label,recommended_item,categories,avg_stars,price,rank
0,court,Where can I get food on my way to the court?,all,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,14
0,court,Where can I get food on my way to the court?,all,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,15
0,court,Where can I get food on my way to the court?,all,Pho Dai Loi 2,"Restaurants, Vietnamese, Thai",4.01,2.0,16
0,court,Where can I get food on my way to the court?,all,The Food Shoppe,"Restaurants, Seafood, Breakfast & Brunch, Cajun/Creole",4.51,2.0,17
0,court,Where can I get food on my way to the court?,all,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,18
0,court,Where can I get food on my way to the court?,all,Takorea,"Korean, Nightlife, Bars, Restaurants, Mexican",3.66,2.0,19
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,0
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,1
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,2
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,3
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,4
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Cafe Intermezzo,"American (Traditional), Desserts, Modern European, Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch",3.13,2.0,5
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,6
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,7
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,8
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,9
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,10
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,11
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Chick-fil-A,"Restaurants, Caterers, Event Planning & Services, Fast Food",3.3,1.0,12
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Fresh To Order,"Salad, Fast Food, Restaurants, Sandwiches, American (New)",3.12,2.0,13
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Atlanta Bread,"Food, Bakeries, Restaurants, Coffee & Tea, Sandwiches",2.73,2.0,14
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Paschal's Southern Cuisine,"Food, Southern, Restaurants",3.62,2.0,15
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Nature's Table Bistro,"Restaurants, Sandwiches, Fast Food, American (Traditional), Salad",3.48,2.0,16
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,17
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Goldbergs Fine Foods - Toco Hills,"Event Planning & Services, Bagels, Food, Restaurants, Delis, Caterers, Sandwiches",3.72,2.0,18
1,psychiatrist,Where can I get food on my way to the psychiatrist?,all,Chipotle Mexican Grill,"Mexican, Fast Food, Restaurants",2.47,1.0,19
2,museum,Where can I get food on my way to the museum?,all,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,0
2,museum,Where can I get food on my way to the museum?,all,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,1
2,museum,Where can I get food on my way to the museum?,all,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,2
2,museum,Where can I get food on my way to the museum?,all,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,3
2,museum,Where can I get food on my way to the museum?,all,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,4
2,museum,Where can I get food on my way to the museum?,all,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,5
2,museum,Where can I get food on my way to the museum?,all,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,6
2,museum,Where can I get food on my way to the museum?,all,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,7
2,museum,Where can I get food on my way to the museum?,all,Sun in My Belly,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",3.95,2.0,8
2,museum,Where can I get food on my way to the museum?,all,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,9
2,museum,Where can I get food on my way to the museum?,all,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,10
2,museum,Where can I get food on my way to the museum?,all,Arepa Mia,"Restaurants, Food, Specialty Food, Venezuelan, Latin American, Ethnic Food, Gluten-Free",4.37,1.0,11
2,museum,Where can I get food on my way to the museum?,all,la Madeleine French Bakery & Cafe,"Restaurants, Event Planning & Services, French, Cafes, Food, Bakeries, Breakfast & Brunch, Caterers",3.36,2.0,12
2,museum,Where can I get food on my way to the museum?,all,Cafe Intermezzo - Midtown,"Restaurants, Cafes, Nightlife, Bars, Desserts, Food, Creperies",3.62,2.0,13
2,museum,Where can I get food on my way to the museum?,all,Amélie's French Bakery & Café,"Coffee & Tea, French, Restaurants, Patisserie/Cake Shop, Cafes, Bakeries, Food",4.02,1.0,14
2,museum,Where can I get food on my way to the museum?,all,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,15
2,museum,Where can I get food on my way to the museum?,all,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,16
2,museum,Where can I get food on my way to the museum?,all,Babs,"Breakfast & Brunch, Restaurants",4.02,2.0,17
2,museum,Where can I get food on my way to the museum?,all,South City Kitchen Midtown,"Restaurants, American (New), Southern, Breakfast & Brunch, Gluten-Free",4.33,2.0,18
2,museum,Where can I get food on my way to the museum?,all,True Food Kitchen,"Vegetarian, Restaurants, American (New), Vegan, Salad",4.12,2.0,19
3,bar,Where can I get food on my way to the bar?,all,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,0
3,bar,Where can I get food on my way to the bar?,all,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,1
3,bar,Where can I get food on my way to the bar?,all,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,2
3,bar,Where can I get food on my way to the bar?,all,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,3
3,bar,Where can I get food on my way to the bar?,all,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,4
3,bar,Where can I get food on my way to the bar?,all,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,5
3,bar,Where can I get food on my way to the bar?,all,Hankook Taqueria,"Korean, Mexican, Restaurants, Asian Fusion",4.24,2.0,6
3,bar,Where can I get food on my way to the bar?,all,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,7
3,bar,Where can I get food on my way to the bar?,all,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,8
3,bar,Where can I get food on my way to the bar?,all,Dua Vietnamese,"Vietnamese, Salad, Noodles, Restaurants",3.82,2.0,9
3,bar,Where can I get food on my way to the bar?,all,Sweet Hut Bakery & Cafe,"Restaurants, Coffee & Tea, Desserts, Sandwiches, Food, Bakeries",4.08,1.0,10
3,bar,Where can I get food on my way to the bar?,all,Tassili's Raw Reality,"Live/Raw Food, Restaurants, Vegan",4.35,2.0,11
3,bar,Where can I get food on my way to the bar?,all,Chipotle Mexican Grill,"Restaurants, Fast Food, Mexican",2.26,1.0,12
3,bar,Where can I get food on my way to the bar?,all,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,13
3,bar,Where can I get food on my way to the bar?,all,Sublime Doughnuts,"Donuts, Event Planning & Services, Caterers, Local Flavor, Restaurants, Bakeries, Food, Burgers",4.16,1.0,14
3,bar,Where can I get food on my way to the bar?,all,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,15
3,bar,Where can I get food on my way to the bar?,all,Arepa Mia,"Restaurants, Food, Specialty Food, Venezuelan, Latin American, Ethnic Food, Gluten-Free",4.37,1.0,16
3,bar,Where can I get food on my way to the bar?,all,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,17
3,bar,Where can I get food on my way to the bar?,all,Cafe Intermezzo,"American (Traditional), Desserts, Modern European, Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch",3.13,2.0,18
3,bar,Where can I get food on my way to the bar?,all,Morelli's Gourmet Ice Cream,"Bakeries, Restaurants, Food, Ice Cream & Frozen Yogurt, Desserts",4.31,1.0,19
4,private school,Where can I get food on my way to the private school?,all,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,0
4,private school,Where can I get food on my way to the private school?,all,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,1
4,private school,Where can I get food on my way to the private school?,all,Tassili's Raw Reality,"Live/Raw Food, Restaurants, Vegan",4.35,2.0,2
4,private school,Where can I get food on my way to the private school?,all,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,3
4,private school,Where can I get food on my way to the private school?,all,Sweet Hut Bakery & Cafe,"Restaurants, Coffee & Tea, Desserts, Sandwiches, Food, Bakeries",4.08,1.0,4
4,private school,Where can I get food on my way to the private school?,all,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,5
4,private school,Where can I get food on my way to the private school?,all,Upbeet,"Coffee & Tea, Food, Juice Bars & Smoothies, Restaurants, Vegan, Salad, Acai Bowls",4.29,2.0,6
4,private school,Where can I get food on my way to the private school?,all,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,7
4,private school,Where can I get food on my way to the private school?,all,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,8
4,private school,Where can I get food on my way to the private school?,all,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,9
4,private school,Where can I get food on my way to the private school?,all,Dua Vietnamese,"Vietnamese, Salad, Noodles, Restaurants",3.82,2.0,10
4,private school,Where can I get food on my way to the private school?,all,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,11
4,private school,Where can I get food on my way to the private school?,all,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,12
4,private school,Where can I get food on my way to the private school?,all,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,13
4,private school,Where can I get food on my way to the private school?,all,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,14
4,private school,Where can I get food on my way to the private school?,all,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,15
4,private school,Where can I get food on my way to the private school?,all,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,16
4,private school,Where can I get food on my way to the private school?,all,Sublime Doughnuts,"Donuts, Event Planning & Services, Caterers, Local Flavor, Restaurants, Bakeries, Food, Burgers",4.16,1.0,17
4,private school,Where can I get food on my way to the private school?,all,gusto!,"American (New), American (Traditional), Restaurants, Fast Food, Mediterranean",4.49,1.0,18
4,private school,Where can I get food on my way to the private school?,all,JINYA Ramen Bar - Buckhead,"Ramen, Restaurants, Noodles, Japanese, Tapas/Small Plates",4.46,2.0,19
5,church,Where can I get food on my way to the church?,all,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,0
5,church,Where can I get food on my way to the church?,all,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,1
5,church,Where can I get food on my way to the church?,all,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,2
5,church,Where can I get food on my way to the church?,all,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,3
5,church,Where can I get food on my way to the church?,all,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,4
5,church,Where can I get food on my way to the church?,all,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,5
5,church,Where can I get food on my way to the church?,all,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,6
5,church,Where can I get food on my way to the church?,all,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,7
5,church,Where can I get food on my way to the church?,all,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,8
5,church,Where can I get food on my way to the church?,all,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,9
5,church,Where can I get food on my way to the church?,all,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,10
5,church,Where can I get food on my way to the church?,all,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,11
5,church,Where can I get food on my way to the church?,all,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,12
5,church,Where can I get food on my way to the church?,all,Goldbergs Fine Foods - Toco Hills,"Event Planning & Services, Bagels, Food, Restaurants, Delis, Caterers, Sandwiches",3.72,2.0,13
5,church,Where can I get food on my way to the church?,all,Sun in My Belly,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",3.95,2.0,14
5,church,Where can I get food on my way to the church?,all,Amélie's French Bakery & Café,"Coffee & Tea, French, Restaurants, Patisserie/Cake Shop, Cafes, Bakeries, Food",4.02,1.0,15
5,church,Where can I get food on my way to the church?,all,la Madeleine French Bakery & Cafe,"Restaurants, Event Planning & Services, French, Cafes, Food, Bakeries, Breakfast & Brunch, Caterers",3.36,2.0,16
5,church,Where can I get food on my way to the church?,all,Babs,"Breakfast & Brunch, Restaurants",4.02,2.0,17
5,church,Where can I get food on my way to the church?,all,Sweet Hut Bakery & Cafe,"Restaurants, Coffee & Tea, Desserts, Sandwiches, Food, Bakeries",4.08,1.0,18
5,church,Where can I get food on my way to the church?,all,The General Muir,"Restaurants, American (Traditional), Breakfast & Brunch, Delis",4.03,2.0,19
6,mosque,Where can I get food on my way to the mosque?,all,Lee's Bakery,"Sandwiches, Vietnamese, Food, Restaurants, Bakeries, Soup",4.17,1.0,0
6,mosque,Where can I get food on my way to the mosque?,all,So Kong Dong Tofu House,"Korean, Asian Fusion, Restaurants, Barbeque",4.02,2.0,1
6,mosque,Where can I get food on my way to the mosque?,all,Pho Dai Loi 2,"Restaurants, Vietnamese, Thai",4.01,2.0,2
6,mosque,Where can I get food on my way to the mosque?,all,Dua Vietnamese,"Vietnamese, Salad, Noodles, Restaurants",3.82,2.0,3
6,mosque,Where can I get food on my way to the mosque?,all,Little Bangkok,"Chinese, Restaurants, Thai, Himalayan/Nepalese",4.05,2.0,4
6,mosque,Where can I get food on my way to the mosque?,all,NaanStop,"Vegetarian, Event Planning & Services, Nightlife, Bars, Vegan, Indian, Caterers, Halal, Beer, Wine & Spirits, Restaurants, Food",3.67,1.0,5
6,mosque,Where can I get food on my way to the mosque?,all,Quồc Hương Bánh Mì Fast Food,"Restaurants, Chinese, Fast Food, Vietnamese",4.29,1.0,6
6,mosque,Where can I get food on my way to the mosque?,all,Satto Thai & Sushi Bar,"Soup, Restaurants, Sushi Bars, Japanese, Thai",3.48,2.0,7
6,mosque,Where can I get food on my way to the mosque?,all,Pho 24,"Restaurants, Vietnamese",3.4,1.0,8
6,mosque,Where can I get food on my way to the mosque?,all,Planet Bombay,"Restaurants, Indian, Halal, Food, Pakistani, Coffee & Tea",3.35,2.0,9
6,mosque,Where can I get food on my way to the mosque?,all,Hajime,"Japanese, Ramen, Noodles, Restaurants",3.75,2.0,10
6,mosque,Where can I get food on my way to the mosque?,all,Bawarchi Biryanis - Atlanta,"Financial Services, Indian, Seafood, Fast Food, Chinese, Halal, Vegetarian, Restaurants, Soup",3.24,2.0,11
6,mosque,Where can I get food on my way to the mosque?,all,Top Spice,"Thai, Restaurants, Malaysian",3.81,2.0,12
6,mosque,Where can I get food on my way to the mosque?,all,Top Spice,"Malaysian, Thai, Restaurants",3.49,2.0,13
6,mosque,Where can I get food on my way to the mosque?,all,NaanStop,"Caterers, Vegetarian, Restaurants, Halal, Mediterranean, Indian, Event Planning & Services, Vegan, Salad",3.74,1.0,14
6,mosque,Where can I get food on my way to the mosque?,all,JINYA Ramen Bar - Buckhead,"Ramen, Restaurants, Noodles, Japanese, Tapas/Small Plates",4.46,2.0,15
6,mosque,Where can I get food on my way to the mosque?,all,Umma's House Restaurant & Cafe,"Sushi Bars, Japanese, Restaurants, Korean",2.71,1.0,16
6,mosque,Where can I get food on my way to the mosque?,all,Fortune Cookie,"Chinese, Restaurants",3.6,2.0,17
6,mosque,Where can I get food on my way to the mosque?,all,Sweet Hut Bakery & Cafe,"Restaurants, Coffee & Tea, Desserts, Sandwiches, Food, Bakeries",4.08,1.0,18
6,mosque,Where can I get food on my way to the mosque?,all,Purnima Bangladeshi Cuisine,"Buffets, Halal, Bangladeshi, Vegetarian, Indian, Restaurants",4.49,2.0,19
7,synagogue,Where can I get food on my way to the synagogue?,all,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,0
7,synagogue,Where can I get food on my way to the synagogue?,all,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,1
7,synagogue,Where can I get food on my way to the synagogue?,all,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,2
7,synagogue,Where can I get food on my way to the synagogue?,all,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,3
7,synagogue,Where can I get food on my way to the synagogue?,all,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,4
7,synagogue,Where can I get food on my way to the synagogue?,all,Goldbergs Fine Foods - Toco Hills,"Event Planning & Services, Bagels, Food, Restaurants, Delis, Caterers, Sandwiches",3.72,2.0,5
7,synagogue,Where can I get food on my way to the synagogue?,all,Lee's Bakery,"Sandwiches, Vietnamese, Food, Restaurants, Bakeries, Soup",4.17,1.0,6
7,synagogue,Where can I get food on my way to the synagogue?,all,la Madeleine French Bakery & Cafe,"Restaurants, Event Planning & Services, French, Cafes, Food, Bakeries, Breakfast & Brunch, Caterers",3.36,2.0,7
7,synagogue,Where can I get food on my way to the synagogue?,all,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,8
7,synagogue,Where can I get food on my way to the synagogue?,all,The General Muir,"Restaurants, American (Traditional), Breakfast & Brunch, Delis",4.03,2.0,9
7,synagogue,Where can I get food on my way to the synagogue?,all,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,10
7,synagogue,Where can I get food on my way to the synagogue?,all,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,11
7,synagogue,Where can I get food on my way to the synagogue?,all,Bagel Palace Deli & Bakery,"Delis, Bagels, Restaurants, Breakfast & Brunch, Food",3.5,1.0,12
7,synagogue,Where can I get food on my way to the synagogue?,all,Cafe Intermezzo,"American (Traditional), Desserts, Modern European, Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch",3.13,2.0,13
7,synagogue,Where can I get food on my way to the synagogue?,all,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,14
7,synagogue,Where can I get food on my way to the synagogue?,all,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,15
7,synagogue,Where can I get food on my way to the synagogue?,all,Sun in My Belly,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",3.95,2.0,16
7,synagogue,Where can I get food on my way to the synagogue?,all,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,17
7,synagogue,Where can I get food on my way to the synagogue?,all,Aviva by Kameel,"Middle Eastern, Mediterranean, Restaurants, Vegan, Food, Juice Bars & Smoothies",4.82,2.0,18
7,synagogue,Where can I get food on my way to the synagogue?,all,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,19
8,court,Can you book a restaurant after me finishing the work at the court?,all,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,0
8,court,Can you book a restaurant after me finishing the work at the court?,all,Cafe Intermezzo,"American (Traditional), Desserts, Modern European, Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch",3.13,2.0,1
8,court,Can you book a restaurant after me finishing the work at the court?,all,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,2
8,court,Can you book a restaurant after me finishing the work at the court?,all,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,3
8,court,Can you book a restaurant after me finishing the work at the court?,all,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,4
8,court,Can you book a restaurant after me finishing the work at the court?,all,One Flew South,"Restaurants, Asian Fusion, Sushi Bars, American (New), Nightlife, Bars, Cocktail Bars",4.34,2.0,5
