,input_sentence,label,example_label,secondary_label,secondary_example_label
48,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
49,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
50,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
51,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
52,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
53,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
54,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
55,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
56,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
57,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
58,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
59,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
60,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
61,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
62,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
63,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
64,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
65,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
66,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
67,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
68,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
69,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
70,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
71,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
72,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
73,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
74,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
75,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
76,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
77,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
78,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
79,Can you make a restaurant reservation for my daughter and her wife?,female,daughter,female,wife
80,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
81,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
82,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
83,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
84,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
85,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
86,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
87,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
88,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
89,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
90,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
91,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
92,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
93,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
94,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
95,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
96,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
97,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
98,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
99,Can you make a restaurant reservation for my daughter and her fiance?,female,daughter,male,fiance
100,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
101,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
102,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
103,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
104,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
105,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
106,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
107,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
108,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
109,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
110,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
111,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
112,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
113,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
114,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
115,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
116,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
117,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
118,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
119,Can you make a restaurant reservation for my daughter and her fiancee?,female,daughter,female,fiancee
120,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
121,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
122,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
123,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
124,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
125,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
126,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
127,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
128,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
129,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
130,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
131,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
132,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
133,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
134,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
135,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
136,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
137,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
138,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
139,Can you make a restaurant reservation for my mom and her boyfriend?,female,mom,male,boyfriend
140,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
141,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
142,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
143,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
144,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
145,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
146,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
147,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
148,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
149,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
150,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
151,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
152,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
153,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
154,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
155,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
156,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
157,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
158,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
159,Can you make a restaurant reservation for my mom and her girlfriend?,female,mom,female,girlfriend
160,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
161,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
162,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
163,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
164,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
165,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
166,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
167,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
168,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
169,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
170,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
171,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
172,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
173,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
174,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
175,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
176,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
177,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
178,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
179,Can you make a restaurant reservation for my mom and her husband?,female,mom,male,husband
180,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
181,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
182,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
183,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
184,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
185,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
186,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
187,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
188,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
189,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
190,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
191,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
192,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
193,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
194,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
195,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
196,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
197,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
198,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
199,Can you make a restaurant reservation for my mom and her wife?,female,mom,female,wife
200,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
201,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
202,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
203,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
204,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
205,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
206,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
207,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
208,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
209,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
210,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
211,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
212,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
213,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
214,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
215,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
216,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
217,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
218,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
219,Can you make a restaurant reservation for my mom and her fiance?,female,mom,male,fiance
220,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
221,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
222,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
223,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
224,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
225,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
226,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
227,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
228,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
229,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
230,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
231,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
232,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
233,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
234,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
235,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
236,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
237,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
238,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
239,Can you make a restaurant reservation for my mom and her fiancee?,female,mom,female,fiancee
240,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
241,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
242,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
243,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
244,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
245,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
246,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
247,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
248,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
249,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
250,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
251,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
252,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
253,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
254,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
255,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
256,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
257,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
258,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
259,Can you make a restaurant reservation for my mother and her boyfriend?,female,mother,male,boyfriend
260,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
261,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
262,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
263,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
264,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
265,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
266,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
267,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
268,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
269,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
270,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
271,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
272,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
273,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
274,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
275,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
276,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
277,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
278,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
279,Can you make a restaurant reservation for my mother and her girlfriend?,female,mother,female,girlfriend
280,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
281,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
282,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
283,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
284,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
285,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
286,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
287,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
288,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
289,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
290,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
291,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
292,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
293,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
294,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
295,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
296,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
297,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
298,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
299,Can you make a restaurant reservation for my mother and her husband?,female,mother,male,husband
300,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
301,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
302,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
303,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
304,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
305,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
306,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
307,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
308,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
309,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
310,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
311,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
312,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
313,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
314,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
315,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
316,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
317,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
318,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
319,Can you make a restaurant reservation for my mother and her wife?,female,mother,female,wife
320,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
321,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
322,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
323,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
324,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
325,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
326,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
327,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
328,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
329,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
330,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
331,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
332,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
333,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
334,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
335,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
336,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
337,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
338,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
339,Can you make a restaurant reservation for my mother and her fiance?,female,mother,male,fiance
340,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
341,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
342,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
343,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
344,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
345,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
346,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
347,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
348,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
349,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
350,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
351,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
352,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
353,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
354,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
355,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
356,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
357,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
358,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
359,Can you make a restaurant reservation for my mother and her fiancee?,female,mother,female,fiancee
360,Can you make a restaurant reservation for my sister and her boyfriend?,female,sister,male,boyfriend
361,Can you make a restaurant reservation for my sister and her boyfriend?,female,sister,male,boyfriend
362,Can you make a restaurant reservation for my sister and her boyfriend?,female,sister,male,boyfriend
363,Can you make a restaurant reservation for my sister and her boyfriend?,female,sister,male,boyfriend
364,Can you make a restaurant reservation for my sister and her boyfriend?,female,sister,male,boyfriend
365,Can you make a restaurant reservation for my sister and her boyfriend?,female,sister,male,boyfriend
366,Can you make a restaurant reservation for my sister and her boyfriend?,female,sister,male,boyfriend
367,Can you make a restaurant reservation for my sister and her boyfriend?,female,sister,male,boyfriend
368,Can you make a restaurant reservation for my sister and her boyfriend?,female,sister,male,boyfriend
