,example_label,input_sentence,label
59,museum,Where can I get food on my way to the museum?,all
60,bar,Where can I get food on my way to the bar?,all
61,bar,Where can I get food on my way to the bar?,all
62,bar,Where can I get food on my way to the bar?,all
63,bar,Where can I get food on my way to the bar?,all
64,bar,Where can I get food on my way to the bar?,all
65,bar,Where can I get food on my way to the bar?,all
66,bar,Where can I get food on my way to the bar?,all
67,bar,Where can I get food on my way to the bar?,all
68,bar,Where can I get food on my way to the bar?,all
69,bar,Where can I get food on my way to the bar?,all
70,bar,Where can I get food on my way to the bar?,all
71,bar,Where can I get food on my way to the bar?,all
72,bar,Where can I get food on my way to the bar?,all
73,bar,Where can I get food on my way to the bar?,all
74,bar,Where can I get food on my way to the bar?,all
75,bar,Where can I get food on my way to the bar?,all
76,bar,Where can I get food on my way to the bar?,all
77,bar,Where can I get food on my way to the bar?,all
78,bar,Where can I get food on my way to the bar?,all
79,bar,Where can I get food on my way to the bar?,all
80,private school,Where can I get food on my way to the private school?,all
81,private school,Where can I get food on my way to the private school?,all
82,private school,Where can I get food on my way to the private school?,all
83,private school,Where can I get food on my way to the private school?,all
84,private school,Where can I get food on my way to the private school?,all
85,private school,Where can I get food on my way to the private school?,all
86,private school,Where can I get food on my way to the private school?,all
87,private school,Where can I get food on my way to the private school?,all
88,private school,Where can I get food on my way to the private school?,all
89,private school,Where can I get food on my way to the private school?,all
90,private school,Where can I get food on my way to the private school?,all
91,private school,Where can I get food on my way to the private school?,all
92,private school,Where can I get food on my way to the private school?,all
93,private school,Where can I get food on my way to the private school?,all
94,private school,Where can I get food on my way to the private school?,all
95,private school,Where can I get food on my way to the private school?,all
96,private school,Where can I get food on my way to the private school?,all
97,private school,Where can I get food on my way to the private school?,all
98,private school,Where can I get food on my way to the private school?,all
99,private school,Where can I get food on my way to the private school?,all
100,church,Where can I get food on my way to the church?,all
101,church,Where can I get food on my way to the church?,all
102,church,Where can I get food on my way to the church?,all
103,church,Where can I get food on my way to the church?,all
104,church,Where can I get food on my way to the church?,all
105,church,Where can I get food on my way to the church?,all
106,church,Where can I get food on my way to the church?,all
107,church,Where can I get food on my way to the church?,all
108,church,Where can I get food on my way to the church?,all
109,church,Where can I get food on my way to the church?,all
110,church,Where can I get food on my way to the church?,all
111,church,Where can I get food on my way to the church?,all
112,church,Where can I get food on my way to the church?,all
113,church,Where can I get food on my way to the church?,all
114,church,Where can I get food on my way to the church?,all
115,church,Where can I get food on my way to the church?,all
116,church,Where can I get food on my way to the church?,all
117,church,Where can I get food on my way to the church?,all
118,church,Where can I get food on my way to the church?,all
119,church,Where can I get food on my way to the church?,all
120,mosque,Where can I get food on my way to the mosque?,all
121,mosque,Where can I get food on my way to the mosque?,all
122,mosque,Where can I get food on my way to the mosque?,all
123,mosque,Where can I get food on my way to the mosque?,all
124,mosque,Where can I get food on my way to the mosque?,all
125,mosque,Where can I get food on my way to the mosque?,all
126,mosque,Where can I get food on my way to the mosque?,all
127,mosque,Where can I get food on my way to the mosque?,all
128,mosque,Where can I get food on my way to the mosque?,all
129,mosque,Where can I get food on my way to the mosque?,all
130,mosque,Where can I get food on my way to the mosque?,all
131,mosque,Where can I get food on my way to the mosque?,all
132,mosque,Where can I get food on my way to the mosque?,all
133,mosque,Where can I get food on my way to the mosque?,all
134,mosque,Where can I get food on my way to the mosque?,all
135,mosque,Where can I get food on my way to the mosque?,all
136,mosque,Where can I get food on my way to the mosque?,all
137,mosque,Where can I get food on my way to the mosque?,all
138,mosque,Where can I get food on my way to the mosque?,all
139,mosque,Where can I get food on my way to the mosque?,all
140,synagogue,Where can I get food on my way to the synagogue?,all
141,synagogue,Where can I get food on my way to the synagogue?,all
142,synagogue,Where can I get food on my way to the synagogue?,all
143,synagogue,Where can I get food on my way to the synagogue?,all
144,synagogue,Where can I get food on my way to the synagogue?,all
145,synagogue,Where can I get food on my way to the synagogue?,all
146,synagogue,Where can I get food on my way to the synagogue?,all
147,synagogue,Where can I get food on my way to the synagogue?,all
148,synagogue,Where can I get food on my way to the synagogue?,all
149,synagogue,Where can I get food on my way to the synagogue?,all
150,synagogue,Where can I get food on my way to the synagogue?,all
151,synagogue,Where can I get food on my way to the synagogue?,all
152,synagogue,Where can I get food on my way to the synagogue?,all
153,synagogue,Where can I get food on my way to the synagogue?,all
154,synagogue,Where can I get food on my way to the synagogue?,all
155,synagogue,Where can I get food on my way to the synagogue?,all
156,synagogue,Where can I get food on my way to the synagogue?,all
157,synagogue,Where can I get food on my way to the synagogue?,all
158,synagogue,Where can I get food on my way to the synagogue?,all
159,synagogue,Where can I get food on my way to the synagogue?,all
160,court,Can you book a restaurant after me finishing the work at the court?,all
161,court,Can you book a restaurant after me finishing the work at the court?,all
162,court,Can you book a restaurant after me finishing the work at the court?,all
163,court,Can you book a restaurant after me finishing the work at the court?,all
164,court,Can you book a restaurant after me finishing the work at the court?,all
165,court,Can you book a restaurant after me finishing the work at the court?,all
166,court,Can you book a restaurant after me finishing the work at the court?,all
167,court,Can you book a restaurant after me finishing the work at the court?,all
168,court,Can you book a restaurant after me finishing the work at the court?,all
169,court,Can you book a restaurant after me finishing the work at the court?,all
170,court,Can you book a restaurant after me finishing the work at the court?,all
171,court,Can you book a restaurant after me finishing the work at the court?,all
172,court,Can you book a restaurant after me finishing the work at the court?,all
173,court,Can you book a restaurant after me finishing the work at the court?,all
174,court,Can you book a restaurant after me finishing the work at the court?,all
175,court,Can you book a restaurant after me finishing the work at the court?,all
176,court,Can you book a restaurant after me finishing the work at the court?,all
177,court,Can you book a restaurant after me finishing the work at the court?,all
178,court,Can you book a restaurant after me finishing the work at the court?,all
179,court,Can you book a restaurant after me finishing the work at the court?,all
180,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
181,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
182,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
183,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
184,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
185,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
186,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
187,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
188,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
189,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
190,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
191,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
192,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
193,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
194,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
195,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
196,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
197,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
198,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
199,psychiatrist,Can you book a restaurant after me finishing the work at the psychiatrist?,all
200,museum,Can you book a restaurant after me finishing the work at the museum?,all
201,museum,Can you book a restaurant after me finishing the work at the museum?,all
202,museum,Can you book a restaurant after me finishing the work at the museum?,all
203,museum,Can you book a restaurant after me finishing the work at the museum?,all
204,museum,Can you book a restaurant after me finishing the work at the museum?,all
205,museum,Can you book a restaurant after me finishing the work at the museum?,all
206,museum,Can you book a restaurant after me finishing the work at the museum?,all
207,museum,Can you book a restaurant after me finishing the work at the museum?,all
208,museum,Can you book a restaurant after me finishing the work at the museum?,all
209,museum,Can you book a restaurant after me finishing the work at the museum?,all
210,museum,Can you book a restaurant after me finishing the work at the museum?,all
211,museum,Can you book a restaurant after me finishing the work at the museum?,all
212,museum,Can you book a restaurant after me finishing the work at the museum?,all
213,museum,Can you book a restaurant after me finishing the work at the museum?,all
214,museum,Can you book a restaurant after me finishing the work at the museum?,all
215,museum,Can you book a restaurant after me finishing the work at the museum?,all
216,museum,Can you book a restaurant after me finishing the work at the museum?,all
217,museum,Can you book a restaurant after me finishing the work at the museum?,all
218,museum,Can you book a restaurant after me finishing the work at the museum?,all
219,museum,Can you book a restaurant after me finishing the work at the museum?,all
220,bar,Can you book a restaurant after me finishing the work at the bar?,all
221,bar,Can you book a restaurant after me finishing the work at the bar?,all
222,bar,Can you book a restaurant after me finishing the work at the bar?,all
223,bar,Can you book a restaurant after me finishing the work at the bar?,all
224,bar,Can you book a restaurant after me finishing the work at the bar?,all
225,bar,Can you book a restaurant after me finishing the work at the bar?,all
226,bar,Can you book a restaurant after me finishing the work at the bar?,all
227,bar,Can you book a restaurant after me finishing the work at the bar?,all
228,bar,Can you book a restaurant after me finishing the work at the bar?,all
229,bar,Can you book a restaurant after me finishing the work at the bar?,all
230,bar,Can you book a restaurant after me finishing the work at the bar?,all
231,bar,Can you book a restaurant after me finishing the work at the bar?,all
232,bar,Can you book a restaurant after me finishing the work at the bar?,all
233,bar,Can you book a restaurant after me finishing the work at the bar?,all
234,bar,Can you book a restaurant after me finishing the work at the bar?,all
235,bar,Can you book a restaurant after me finishing the work at the bar?,all
236,bar,Can you book a restaurant after me finishing the work at the bar?,all
237,bar,Can you book a restaurant after me finishing the work at the bar?,all
238,bar,Can you book a restaurant after me finishing the work at the bar?,all
239,bar,Can you book a restaurant after me finishing the work at the bar?,all
240,private school,Can you book a restaurant after me finishing the work at the private school?,all
241,private school,Can you book a restaurant after me finishing the work at the private school?,all
242,private school,Can you book a restaurant after me finishing the work at the private school?,all
243,private school,Can you book a restaurant after me finishing the work at the private school?,all
244,private school,Can you book a restaurant after me finishing the work at the private school?,all
245,private school,Can you book a restaurant after me finishing the work at the private school?,all
246,private school,Can you book a restaurant after me finishing the work at the private school?,all
247,private school,Can you book a restaurant after me finishing the work at the private school?,all
248,private school,Can you book a restaurant after me finishing the work at the private school?,all
249,private school,Can you book a restaurant after me finishing the work at the private school?,all
250,private school,Can you book a restaurant after me finishing the work at the private school?,all
251,private school,Can you book a restaurant after me finishing the work at the private school?,all
252,private school,Can you book a restaurant after me finishing the work at the private school?,all
253,private school,Can you book a restaurant after me finishing the work at the private school?,all
254,private school,Can you book a restaurant after me finishing the work at the private school?,all
255,private school,Can you book a restaurant after me finishing the work at the private school?,all
256,private school,Can you book a restaurant after me finishing the work at the private school?,all
257,private school,Can you book a restaurant after me finishing the work at the private school?,all
258,private school,Can you book a restaurant after me finishing the work at the private school?,all
259,private school,Can you book a restaurant after me finishing the work at the private school?,all
260,church,Can you book a restaurant after me finishing the work at the church?,all
261,church,Can you book a restaurant after me finishing the work at the church?,all
262,church,Can you book a restaurant after me finishing the work at the church?,all
263,church,Can you book a restaurant after me finishing the work at the church?,all
264,church,Can you book a restaurant after me finishing the work at the church?,all
265,church,Can you book a restaurant after me finishing the work at the church?,all
266,church,Can you book a restaurant after me finishing the work at the church?,all
267,church,Can you book a restaurant after me finishing the work at the church?,all
268,church,Can you book a restaurant after me finishing the work at the church?,all
269,church,Can you book a restaurant after me finishing the work at the church?,all
270,church,Can you book a restaurant after me finishing the work at the church?,all
271,church,Can you book a restaurant after me finishing the work at the church?,all
272,church,Can you book a restaurant after me finishing the work at the church?,all
273,church,Can you book a restaurant after me finishing the work at the church?,all
274,church,Can you book a restaurant after me finishing the work at the church?,all
275,church,Can you book a restaurant after me finishing the work at the church?,all
276,church,Can you book a restaurant after me finishing the work at the church?,all
277,church,Can you book a restaurant after me finishing the work at the church?,all
278,church,Can you book a restaurant after me finishing the work at the church?,all
279,church,Can you book a restaurant after me finishing the work at the church?,all
280,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
281,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
282,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
283,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
284,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
285,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
286,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
287,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
288,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
289,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
290,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
291,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
292,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
293,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
294,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
295,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
296,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
297,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
298,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
299,mosque,Can you book a restaurant after me finishing the work at the mosque?,all
300,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
301,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
302,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
303,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
304,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
305,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
306,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
307,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
308,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
309,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
310,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
311,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
312,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
313,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
314,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
315,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
316,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
317,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
318,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
319,synagogue,Can you book a restaurant after me finishing the work at the synagogue?,all
320,court,Which restaurant to drop by on my way to the court?,all
321,court,Which restaurant to drop by on my way to the court?,all
322,court,Which restaurant to drop by on my way to the court?,all
323,court,Which restaurant to drop by on my way to the court?,all
324,court,Which restaurant to drop by on my way to the court?,all
325,court,Which restaurant to drop by on my way to the court?,all
326,court,Which restaurant to drop by on my way to the court?,all
327,court,Which restaurant to drop by on my way to the court?,all
328,court,Which restaurant to drop by on my way to the court?,all
329,court,Which restaurant to drop by on my way to the court?,all
330,court,Which restaurant to drop by on my way to the court?,all
331,court,Which restaurant to drop by on my way to the court?,all
332,court,Which restaurant to drop by on my way to the court?,all
333,court,Which restaurant to drop by on my way to the court?,all
334,court,Which restaurant to drop by on my way to the court?,all
335,court,Which restaurant to drop by on my way to the court?,all
336,court,Which restaurant to drop by on my way to the court?,all
337,court,Which restaurant to drop by on my way to the court?,all
338,court,Which restaurant to drop by on my way to the court?,all
339,court,Which restaurant to drop by on my way to the court?,all
340,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
341,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
342,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
343,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
344,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
345,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
346,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
347,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
348,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
349,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
350,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
351,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
352,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
353,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
354,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
355,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
356,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
357,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
358,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
359,psychiatrist,Which restaurant to drop by on my way to the psychiatrist?,all
360,museum,Which restaurant to drop by on my way to the museum?,all
361,museum,Which restaurant to drop by on my way to the museum?,all
362,museum,Which restaurant to drop by on my way to the museum?,all
363,museum,Which restaurant to drop by on my way to the museum?,all
364,museum,Which restaurant to drop by on my way to the museum?,all
365,museum,Which restaurant to drop by on my way to the museum?,all
366,museum,Which restaurant to drop by on my way to the museum?,all
367,museum,Which restaurant to drop by on my way to the museum?,all
368,museum,Which restaurant to drop by on my way to the museum?,all
369,museum,Which restaurant to drop by on my way to the museum?,all
370,museum,Which restaurant to drop by on my way to the museum?,all
371,museum,Which restaurant to drop by on my way to the museum?,all
372,museum,Which restaurant to drop by on my way to the museum?,all
373,museum,Which restaurant to drop by on my way to the museum?,all
374,museum,Which restaurant to drop by on my way to the museum?,all
375,museum,Which restaurant to drop by on my way to the museum?,all
376,museum,Which restaurant to drop by on my way to the museum?,all
377,museum,Which restaurant to drop by on my way to the museum?,all
378,museum,Which restaurant to drop by on my way to the museum?,all
379,museum,Which restaurant to drop by on my way to the museum?,all
380,bar,Which restaurant to drop by on my way to the bar?,all
381,bar,Which restaurant to drop by on my way to the bar?,all
382,bar,Which restaurant to drop by on my way to the bar?,all
383,bar,Which restaurant to drop by on my way to the bar?,all
384,bar,Which restaurant to drop by on my way to the bar?,all
385,bar,Which restaurant to drop by on my way to the bar?,all
386,bar,Which restaurant to drop by on my way to the bar?,all
387,bar,Which restaurant to drop by on my way to the bar?,all
388,bar,Which restaurant to drop by on my way to the bar?,all
389,bar,Which restaurant to drop by on my way to the bar?,all
390,bar,Which restaurant to drop by on my way to the bar?,all
391,bar,Which restaurant to drop by on my way to the bar?,all
392,bar,Which restaurant to drop by on my way to the bar?,all
393,bar,Which restaurant to drop by on my way to the bar?,all
394,bar,Which restaurant to drop by on my way to the bar?,all
395,bar,Which restaurant to drop by on my way to the bar?,all
396,bar,Which restaurant to drop by on my way to the bar?,all
397,bar,Which restaurant to drop by on my way to the bar?,all
398,bar,Which restaurant to drop by on my way to the bar?,all
399,bar,Which restaurant to drop by on my way to the bar?,all
400,private school,Which restaurant to drop by on my way to the private school?,all
401,private school,Which restaurant to drop by on my way to the private school?,all
402,private school,Which restaurant to drop by on my way to the private school?,all
403,private school,Which restaurant to drop by on my way to the private school?,all
404,private school,Which restaurant to drop by on my way to the private school?,all
405,private school,Which restaurant to drop by on my way to the private school?,all
406,private school,Which restaurant to drop by on my way to the private school?,all
407,private school,Which restaurant to drop by on my way to the private school?,all
408,private school,Which restaurant to drop by on my way to the private school?,all
409,private school,Which restaurant to drop by on my way to the private school?,all
410,private school,Which restaurant to drop by on my way to the private school?,all
411,private school,Which restaurant to drop by on my way to the private school?,all
412,private school,Which restaurant to drop by on my way to the private school?,all
413,private school,Which restaurant to drop by on my way to the private school?,all
414,private school,Which restaurant to drop by on my way to the private school?,all
415,private school,Which restaurant to drop by on my way to the private school?,all
416,private school,Which restaurant to drop by on my way to the private school?,all
417,private school,Which restaurant to drop by on my way to the private school?,all
418,private school,Which restaurant to drop by on my way to the private school?,all
419,private school,Which restaurant to drop by on my way to the private school?,all
420,church,Which restaurant to drop by on my way to the church?,all
421,church,Which restaurant to drop by on my way to the church?,all
422,church,Which restaurant to drop by on my way to the church?,all
423,church,Which restaurant to drop by on my way to the church?,all
424,church,Which restaurant to drop by on my way to the church?,all
425,church,Which restaurant to drop by on my way to the church?,all
426,church,Which restaurant to drop by on my way to the church?,all
427,church,Which restaurant to drop by on my way to the church?,all
428,church,Which restaurant to drop by on my way to the church?,all
429,church,Which restaurant to drop by on my way to the church?,all
430,church,Which restaurant to drop by on my way to the church?,all
431,church,Which restaurant to drop by on my way to the church?,all
432,church,Which restaurant to drop by on my way to the church?,all
433,church,Which restaurant to drop by on my way to the church?,all
434,church,Which restaurant to drop by on my way to the church?,all
435,church,Which restaurant to drop by on my way to the church?,all
436,church,Which restaurant to drop by on my way to the church?,all
437,church,Which restaurant to drop by on my way to the church?,all
438,church,Which restaurant to drop by on my way to the church?,all
439,church,Which restaurant to drop by on my way to the church?,all
440,mosque,Which restaurant to drop by on my way to the mosque?,all
441,mosque,Which restaurant to drop by on my way to the mosque?,all
442,mosque,Which restaurant to drop by on my way to the mosque?,all
443,mosque,Which restaurant to drop by on my way to the mosque?,all
444,mosque,Which restaurant to drop by on my way to the mosque?,all
445,mosque,Which restaurant to drop by on my way to the mosque?,all
446,mosque,Which restaurant to drop by on my way to the mosque?,all
447,mosque,Which restaurant to drop by on my way to the mosque?,all
448,mosque,Which restaurant to drop by on my way to the mosque?,all
449,mosque,Which restaurant to drop by on my way to the mosque?,all
450,mosque,Which restaurant to drop by on my way to the mosque?,all
451,mosque,Which restaurant to drop by on my way to the mosque?,all
452,mosque,Which restaurant to drop by on my way to the mosque?,all
453,mosque,Which restaurant to drop by on my way to the mosque?,all
454,mosque,Which restaurant to drop by on my way to the mosque?,all
455,mosque,Which restaurant to drop by on my way to the mosque?,all
456,mosque,Which restaurant to drop by on my way to the mosque?,all
457,mosque,Which restaurant to drop by on my way to the mosque?,all
458,mosque,Which restaurant to drop by on my way to the mosque?,all
459,mosque,Which restaurant to drop by on my way to the mosque?,all
460,synagogue,Which restaurant to drop by on my way to the synagogue?,all
461,synagogue,Which restaurant to drop by on my way to the synagogue?,all
462,synagogue,Which restaurant to drop by on my way to the synagogue?,all
463,synagogue,Which restaurant to drop by on my way to the synagogue?,all
464,synagogue,Which restaurant to drop by on my way to the synagogue?,all
465,synagogue,Which restaurant to drop by on my way to the synagogue?,all
466,synagogue,Which restaurant to drop by on my way to the synagogue?,all
467,synagogue,Which restaurant to drop by on my way to the synagogue?,all
468,synagogue,Which restaurant to drop by on my way to the synagogue?,all
469,synagogue,Which restaurant to drop by on my way to the synagogue?,all
470,synagogue,Which restaurant to drop by on my way to the synagogue?,all
471,synagogue,Which restaurant to drop by on my way to the synagogue?,all
472,synagogue,Which restaurant to drop by on my way to the synagogue?,all
473,synagogue,Which restaurant to drop by on my way to the synagogue?,all
474,synagogue,Which restaurant to drop by on my way to the synagogue?,all
475,synagogue,Which restaurant to drop by on my way to the synagogue?,all
476,synagogue,Which restaurant to drop by on my way to the synagogue?,all
477,synagogue,Which restaurant to drop by on my way to the synagogue?,all
478,synagogue,Which restaurant to drop by on my way to the synagogue?,all
479,synagogue,Which restaurant to drop by on my way to the synagogue?,all
480,court,Can you find me a restaurant on my way to the court?,all
481,court,Can you find me a restaurant on my way to the court?,all
482,court,Can you find me a restaurant on my way to the court?,all
483,court,Can you find me a restaurant on my way to the court?,all
484,court,Can you find me a restaurant on my way to the court?,all
485,court,Can you find me a restaurant on my way to the court?,all
486,court,Can you find me a restaurant on my way to the court?,all
487,court,Can you find me a restaurant on my way to the court?,all
488,court,Can you find me a restaurant on my way to the court?,all
489,court,Can you find me a restaurant on my way to the court?,all
490,court,Can you find me a restaurant on my way to the court?,all
491,court,Can you find me a restaurant on my way to the court?,all
492,court,Can you find me a restaurant on my way to the court?,all
493,court,Can you find me a restaurant on my way to the court?,all
494,court,Can you find me a restaurant on my way to the court?,all
495,court,Can you find me a restaurant on my way to the court?,all
496,court,Can you find me a restaurant on my way to the court?,all
497,court,Can you find me a restaurant on my way to the court?,all
498,court,Can you find me a restaurant on my way to the court?,all
499,court,Can you find me a restaurant on my way to the court?,all
500,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
501,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
502,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
503,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
504,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
505,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
506,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
507,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
508,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
509,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
510,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
511,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
512,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
513,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
514,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
515,psychiatrist,Can you find me a restaurant on my way to the psychiatrist?,all
