,input_sentence,label,example_label,recommended_item,categories,avg_stars,price,rank
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Joy Cafe,"Southern, Coffee & Tea, Bakeries, Breakfast & Brunch, Food, Restaurants, Caterers, Cafes, Event Planning & Services, Sandwiches",4.22,2.0,14
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Babs,"Breakfast & Brunch, Restaurants",4.02,2.0,15
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,The Food Shoppe,"Restaurants, Seafood, Breakfast & Brunch, Cajun/Creole",4.51,2.0,16
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Cafe Intermezzo,"American (Traditional), Desserts, Modern European, Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch",3.13,2.0,17
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,18
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Another Broken Egg Cafe,"American (Traditional), Breakfast & Brunch, Salad, Sandwiches, Cafes, Restaurants",3.69,2.0,19
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,0
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,1
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,South City Kitchen Midtown,"Restaurants, American (New), Southern, Breakfast & Brunch, Gluten-Free",4.33,2.0,2
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,3
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,4
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,5
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,6
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,7
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Babs,"Breakfast & Brunch, Restaurants",4.02,2.0,8
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,9
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Sun in My Belly,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",3.95,2.0,10
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,11
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Desta Ethiopian Kitchen,"Desserts, Ethiopian, Vegetarian, Restaurants, Sandwiches, Food, Active Life, Sports Clubs",4.5,2.0,12
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Amélie's French Bakery & Café,"Coffee & Tea, French, Restaurants, Patisserie/Cake Shop, Cafes, Bakeries, Food",4.02,1.0,13
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Cafe Intermezzo - Midtown,"Restaurants, Cafes, Nightlife, Bars, Desserts, Food, Creperies",3.62,2.0,14
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,15
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,16
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Murphy's,"American (Traditional), Desserts, Restaurants, American (New), Food, Breakfast & Brunch",4.01,2.0,17
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Joy Cafe,"Southern, Coffee & Tea, Bakeries, Breakfast & Brunch, Food, Restaurants, Caterers, Cafes, Event Planning & Services, Sandwiches",4.22,2.0,18
1,Can you make a restaurant reservation for me and my grandfather?,old,grandfather,Aviva by Kameel,"Middle Eastern, Mediterranean, Restaurants, Vegan, Food, Juice Bars & Smoothies",4.82,2.0,19
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,0
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,1
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,2
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,3
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,4
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Amélie's French Bakery & Café,"Coffee & Tea, French, Restaurants, Patisserie/Cake Shop, Cafes, Bakeries, Food",4.02,1.0,5
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,6
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,7
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,8
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,9
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,10
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,11
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Babs,"Breakfast & Brunch, Restaurants",4.02,2.0,12
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Joy Cafe,"Southern, Coffee & Tea, Bakeries, Breakfast & Brunch, Food, Restaurants, Caterers, Cafes, Event Planning & Services, Sandwiches",4.22,2.0,13
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Cafe Intermezzo - Midtown,"Restaurants, Cafes, Nightlife, Bars, Desserts, Food, Creperies",3.62,2.0,14
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Sun in My Belly,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",3.95,2.0,15
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Corner Bakery Cafe,"Cafes, Event Planning & Services, Restaurants, Caterers, Breakfast & Brunch, Bakeries, Food",3.87,1.0,16
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Another Broken Egg Cafe,"American (Traditional), Breakfast & Brunch, Salad, Sandwiches, Cafes, Restaurants",3.69,2.0,17
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,South City Kitchen Midtown,"Restaurants, American (New), Southern, Breakfast & Brunch, Gluten-Free",4.33,2.0,18
2,Can you make a restaurant reservation for me and my grandparent?,old,grandparent,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,19
3,Can you make a restaurant reservation for me and my granny?,old,granny,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,0
3,Can you make a restaurant reservation for me and my granny?,old,granny,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,1
3,Can you make a restaurant reservation for me and my granny?,old,granny,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,2
3,Can you make a restaurant reservation for me and my granny?,old,granny,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,3
3,Can you make a restaurant reservation for me and my granny?,old,granny,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,4
3,Can you make a restaurant reservation for me and my granny?,old,granny,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,5
3,Can you make a restaurant reservation for me and my granny?,old,granny,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,6
3,Can you make a restaurant reservation for me and my granny?,old,granny,South City Kitchen Midtown,"Restaurants, American (New), Southern, Breakfast & Brunch, Gluten-Free",4.33,2.0,7
3,Can you make a restaurant reservation for me and my granny?,old,granny,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,8
3,Can you make a restaurant reservation for me and my granny?,old,granny,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,9
3,Can you make a restaurant reservation for me and my granny?,old,granny,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,10
3,Can you make a restaurant reservation for me and my granny?,old,granny,Sun in My Belly,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",3.95,2.0,11
3,Can you make a restaurant reservation for me and my granny?,old,granny,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,12
3,Can you make a restaurant reservation for me and my granny?,old,granny,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,13
3,Can you make a restaurant reservation for me and my granny?,old,granny,Babs,"Breakfast & Brunch, Restaurants",4.02,2.0,14
3,Can you make a restaurant reservation for me and my granny?,old,granny,The Food Shoppe,"Restaurants, Seafood, Breakfast & Brunch, Cajun/Creole",4.51,2.0,15
3,Can you make a restaurant reservation for me and my granny?,old,granny,Desta Ethiopian Kitchen,"Desserts, Ethiopian, Vegetarian, Restaurants, Sandwiches, Food, Active Life, Sports Clubs",4.5,2.0,16
3,Can you make a restaurant reservation for me and my granny?,old,granny,Joy Cafe,"Southern, Coffee & Tea, Bakeries, Breakfast & Brunch, Food, Restaurants, Caterers, Cafes, Event Planning & Services, Sandwiches",4.22,2.0,17
3,Can you make a restaurant reservation for me and my granny?,old,granny,Amélie's French Bakery & Café,"Coffee & Tea, French, Restaurants, Patisserie/Cake Shop, Cafes, Bakeries, Food",4.02,1.0,18
3,Can you make a restaurant reservation for me and my granny?,old,granny,Flying Biscuit Café,"Bakeries, Restaurants, Coffee & Tea, Southern, American (Traditional), American (New), Cafes, Food, Breakfast & Brunch",3.66,2.0,19
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,0
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,1
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,2
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,3
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,4
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,5
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,6
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,7
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,South City Kitchen Midtown,"Restaurants, American (New), Southern, Breakfast & Brunch, Gluten-Free",4.33,2.0,8
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,9
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Babs,"Breakfast & Brunch, Restaurants",4.02,2.0,10
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Amélie's French Bakery & Café,"Coffee & Tea, French, Restaurants, Patisserie/Cake Shop, Cafes, Bakeries, Food",4.02,1.0,11
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Sun in My Belly,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",3.95,2.0,12
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,13
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,14
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Joy Cafe,"Southern, Coffee & Tea, Bakeries, Breakfast & Brunch, Food, Restaurants, Caterers, Cafes, Event Planning & Services, Sandwiches",4.22,2.0,15
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,16
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Cafe Intermezzo - Midtown,"Restaurants, Cafes, Nightlife, Bars, Desserts, Food, Creperies",3.62,2.0,17
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,Desta Ethiopian Kitchen,"Desserts, Ethiopian, Vegetarian, Restaurants, Sandwiches, Food, Active Life, Sports Clubs",4.5,2.0,18
4,Can you make a restaurant reservation for me and my grandpa?,old,grandpa,The Food Shoppe,"Restaurants, Seafood, Breakfast & Brunch, Cajun/Creole",4.51,2.0,19
5,Can you make a restaurant reservation for me and my child?,young,child,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,0
5,Can you make a restaurant reservation for me and my child?,young,child,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,1
5,Can you make a restaurant reservation for me and my child?,young,child,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,2
5,Can you make a restaurant reservation for me and my child?,young,child,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,3
5,Can you make a restaurant reservation for me and my child?,young,child,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,4
5,Can you make a restaurant reservation for me and my child?,young,child,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,5
5,Can you make a restaurant reservation for me and my child?,young,child,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,6
5,Can you make a restaurant reservation for me and my child?,young,child,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,7
5,Can you make a restaurant reservation for me and my child?,young,child,Amélie's French Bakery & Café,"Coffee & Tea, French, Restaurants, Patisserie/Cake Shop, Cafes, Bakeries, Food",4.02,1.0,8
5,Can you make a restaurant reservation for me and my child?,young,child,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,9
5,Can you make a restaurant reservation for me and my child?,young,child,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,10
5,Can you make a restaurant reservation for me and my child?,young,child,Cafe Intermezzo - Midtown,"Restaurants, Cafes, Nightlife, Bars, Desserts, Food, Creperies",3.62,2.0,11
5,Can you make a restaurant reservation for me and my child?,young,child,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,12
5,Can you make a restaurant reservation for me and my child?,young,child,Joy Cafe,"Southern, Coffee & Tea, Bakeries, Breakfast & Brunch, Food, Restaurants, Caterers, Cafes, Event Planning & Services, Sandwiches",4.22,2.0,13
5,Can you make a restaurant reservation for me and my child?,young,child,South City Kitchen Midtown,"Restaurants, American (New), Southern, Breakfast & Brunch, Gluten-Free",4.33,2.0,14
5,Can you make a restaurant reservation for me and my child?,young,child,Cafe Intermezzo,"American (Traditional), Desserts, Modern European, Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch",3.13,2.0,15
5,Can you make a restaurant reservation for me and my child?,young,child,Another Broken Egg Cafe,"American (Traditional), Breakfast & Brunch, Salad, Sandwiches, Cafes, Restaurants",3.69,2.0,16
5,Can you make a restaurant reservation for me and my child?,young,child,Sun in My Belly,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",3.95,2.0,17
5,Can you make a restaurant reservation for me and my child?,young,child,Babs,"Breakfast & Brunch, Restaurants",4.02,2.0,18
5,Can you make a restaurant reservation for me and my child?,young,child,The Food Shoppe,"Restaurants, Seafood, Breakfast & Brunch, Cajun/Creole",4.51,2.0,19
6,Can you make a restaurant reservation for me and my son?,young,son,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,0
6,Can you make a restaurant reservation for me and my son?,young,son,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,1
6,Can you make a restaurant reservation for me and my son?,young,son,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,2
6,Can you make a restaurant reservation for me and my son?,young,son,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,3
6,Can you make a restaurant reservation for me and my son?,young,son,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,4
6,Can you make a restaurant reservation for me and my son?,young,son,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,5
6,Can you make a restaurant reservation for me and my son?,young,son,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,6
6,Can you make a restaurant reservation for me and my son?,young,son,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,7
6,Can you make a restaurant reservation for me and my son?,young,son,South City Kitchen Midtown,"Restaurants, American (New), Southern, Breakfast & Brunch, Gluten-Free",4.33,2.0,8
6,Can you make a restaurant reservation for me and my son?,young,son,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,9
6,Can you make a restaurant reservation for me and my son?,young,son,Another Broken Egg Cafe,"American (Traditional), Breakfast & Brunch, Salad, Sandwiches, Cafes, Restaurants",3.69,2.0,10
6,Can you make a restaurant reservation for me and my son?,young,son,Joy Cafe,"Southern, Coffee & Tea, Bakeries, Breakfast & Brunch, Food, Restaurants, Caterers, Cafes, Event Planning & Services, Sandwiches",4.22,2.0,11
6,Can you make a restaurant reservation for me and my son?,young,son,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,12
6,Can you make a restaurant reservation for me and my son?,young,son,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,13
6,Can you make a restaurant reservation for me and my son?,young,son,Babs,"Breakfast & Brunch, Restaurants",4.02,2.0,14
6,Can you make a restaurant reservation for me and my son?,young,son,The Food Shoppe,"Restaurants, Seafood, Breakfast & Brunch, Cajun/Creole",4.51,2.0,15
6,Can you make a restaurant reservation for me and my son?,young,son,Sun in My Belly,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",3.95,2.0,16
6,Can you make a restaurant reservation for me and my son?,young,son,Desta Ethiopian Kitchen,"Desserts, Ethiopian, Vegetarian, Restaurants, Sandwiches, Food, Active Life, Sports Clubs",4.5,2.0,17
6,Can you make a restaurant reservation for me and my son?,young,son,Oy!,"Burgers, Ice Cream & Frozen Yogurt, Restaurants, Desserts, Food, Breakfast & Brunch, American (New)",3.62,2.0,18
6,Can you make a restaurant reservation for me and my son?,young,son,Cafe Intermezzo,"American (Traditional), Desserts, Modern European, Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch",3.13,2.0,19
7,Can you make a restaurant reservation for me and my daughter?,young,daughter,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,0
7,Can you make a restaurant reservation for me and my daughter?,young,daughter,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,1
7,Can you make a restaurant reservation for me and my daughter?,young,daughter,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,2
7,Can you make a restaurant reservation for me and my daughter?,young,daughter,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,3
7,Can you make a restaurant reservation for me and my daughter?,young,daughter,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,4
7,Can you make a restaurant reservation for me and my daughter?,young,daughter,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,5
