,input_sentence,label,example_label,recommended_item,categories,avg_stars,price,rank
1,Where can I get food on my way to the university?,all,university,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,11
1,Where can I get food on my way to the university?,all,university,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,12
1,Where can I get food on my way to the university?,all,university,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,13
1,Where can I get food on my way to the university?,all,university,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,14
1,Where can I get food on my way to the university?,all,university,MetroFresh,"American (New), Restaurants, Salad, Breakfast & Brunch, Sandwiches, Soup",4.04,2.0,15
1,Where can I get food on my way to the university?,all,university,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,16
1,Where can I get food on my way to the university?,all,university,Dua Vietnamese,"Vietnamese, Salad, Noodles, Restaurants",3.82,2.0,17
1,Where can I get food on my way to the university?,all,university,la Madeleine French Bakery & Cafe,"Restaurants, Event Planning & Services, French, Cafes, Food, Bakeries, Breakfast & Brunch, Caterers",3.36,2.0,18
1,Where can I get food on my way to the university?,all,university,gusto!,"American (New), American (Traditional), Restaurants, Fast Food, Mediterranean",4.49,1.0,19
2,Where can I get food on my way to the law office?,all,law office,Chick-fil-A,"Restaurants, Caterers, Event Planning & Services, Fast Food",3.3,1.0,0
2,Where can I get food on my way to the law office?,all,law office,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,1
2,Where can I get food on my way to the law office?,all,law office,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,2
2,Where can I get food on my way to the law office?,all,law office,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,3
2,Where can I get food on my way to the law office?,all,law office,Atlanta Bread,"Food, Bakeries, Restaurants, Coffee & Tea, Sandwiches",2.73,2.0,4
2,Where can I get food on my way to the law office?,all,law office,Paschal's Southern Cuisine,"Food, Southern, Restaurants",3.62,2.0,5
2,Where can I get food on my way to the law office?,all,law office,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,6
2,Where can I get food on my way to the law office?,all,law office,Cafe Intermezzo,"American (Traditional), Desserts, Modern European, Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch",3.13,2.0,7
2,Where can I get food on my way to the law office?,all,law office,Fresh To Order,"Salad, Fast Food, Restaurants, Sandwiches, American (New)",3.12,2.0,8
2,Where can I get food on my way to the law office?,all,law office,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,9
2,Where can I get food on my way to the law office?,all,law office,Nature's Table Bistro,"Restaurants, Sandwiches, Fast Food, American (Traditional), Salad",3.48,2.0,10
2,Where can I get food on my way to the law office?,all,law office,Dua Vietnamese,"Vietnamese, Salad, Noodles, Restaurants",3.82,2.0,11
2,Where can I get food on my way to the law office?,all,law office,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,12
2,Where can I get food on my way to the law office?,all,law office,Goldbergs Fine Foods,"Restaurants, Burgers, Delis, Bagels, Food",2.13,2.0,13
2,Where can I get food on my way to the law office?,all,law office,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,14
2,Where can I get food on my way to the law office?,all,law office,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,15
2,Where can I get food on my way to the law office?,all,law office,Chipotle Mexican Grill,"Mexican, Fast Food, Restaurants",2.47,1.0,16
2,Where can I get food on my way to the law office?,all,law office,Sweet Hut Bakery & Cafe,"Restaurants, Coffee & Tea, Desserts, Sandwiches, Food, Bakeries",4.08,1.0,17
2,Where can I get food on my way to the law office?,all,law office,Sublime Doughnuts,"Donuts, Event Planning & Services, Caterers, Local Flavor, Restaurants, Bakeries, Food, Burgers",4.16,1.0,18
2,Where can I get food on my way to the law office?,all,law office,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,19
3,Where can I get food on my way to the farm?,all,farm,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,0
3,Where can I get food on my way to the farm?,all,farm,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,1
3,Where can I get food on my way to the farm?,all,farm,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,2
3,Where can I get food on my way to the farm?,all,farm,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,3
3,Where can I get food on my way to the farm?,all,farm,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,4
3,Where can I get food on my way to the farm?,all,farm,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,5
3,Where can I get food on my way to the farm?,all,farm,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,6
3,Where can I get food on my way to the farm?,all,farm,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,7
3,Where can I get food on my way to the farm?,all,farm,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,8
3,Where can I get food on my way to the farm?,all,farm,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,9
3,Where can I get food on my way to the farm?,all,farm,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,10
3,Where can I get food on my way to the farm?,all,farm,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,11
3,Where can I get food on my way to the farm?,all,farm,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,12
3,Where can I get food on my way to the farm?,all,farm,The Busy Bee Cafe,"Restaurants, Southern, Soul Food",3.9,2.0,13
3,Where can I get food on my way to the farm?,all,farm,Tassili's Raw Reality,"Live/Raw Food, Restaurants, Vegan",4.35,2.0,14
3,Where can I get food on my way to the farm?,all,farm,Goldbergs Fine Foods - Toco Hills,"Event Planning & Services, Bagels, Food, Restaurants, Delis, Caterers, Sandwiches",3.72,2.0,15
3,Where can I get food on my way to the farm?,all,farm,Flying Biscuit Café,"Bakeries, Restaurants, Coffee & Tea, Southern, American (Traditional), American (New), Cafes, Food, Breakfast & Brunch",3.66,2.0,16
3,Where can I get food on my way to the farm?,all,farm,Paschal's Southern Cuisine,"Food, Southern, Restaurants",3.62,2.0,17
3,Where can I get food on my way to the farm?,all,farm,Gladys Knight's Signature Chicken & Waffles,"Waffles, Restaurants, Southern, Soul Food",3.28,2.0,18
3,Where can I get food on my way to the farm?,all,farm,Eats,"Southern, Fast Food, Caribbean, Restaurants, Italian",3.9,1.0,19
4,Where can I get food on my way to the barbershop?,all,barbershop,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,0
4,Where can I get food on my way to the barbershop?,all,barbershop,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,1
4,Where can I get food on my way to the barbershop?,all,barbershop,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,2
4,Where can I get food on my way to the barbershop?,all,barbershop,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,3
4,Where can I get food on my way to the barbershop?,all,barbershop,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,4
4,Where can I get food on my way to the barbershop?,all,barbershop,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,5
4,Where can I get food on my way to the barbershop?,all,barbershop,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,6
4,Where can I get food on my way to the barbershop?,all,barbershop,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,7
4,Where can I get food on my way to the barbershop?,all,barbershop,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,8
4,Where can I get food on my way to the barbershop?,all,barbershop,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,9
4,Where can I get food on my way to the barbershop?,all,barbershop,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,10
4,Where can I get food on my way to the barbershop?,all,barbershop,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,11
4,Where can I get food on my way to the barbershop?,all,barbershop,Goldbergs Fine Foods - Toco Hills,"Event Planning & Services, Bagels, Food, Restaurants, Delis, Caterers, Sandwiches",3.72,2.0,12
4,Where can I get food on my way to the barbershop?,all,barbershop,Sun in My Belly,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",3.95,2.0,13
4,Where can I get food on my way to the barbershop?,all,barbershop,The General Muir,"Restaurants, American (Traditional), Breakfast & Brunch, Delis",4.03,2.0,14
4,Where can I get food on my way to the barbershop?,all,barbershop,Cafe Intermezzo,"American (Traditional), Desserts, Modern European, Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch",3.13,2.0,15
4,Where can I get food on my way to the barbershop?,all,barbershop,Sublime Doughnuts,"Donuts, Event Planning & Services, Caterers, Local Flavor, Restaurants, Bakeries, Food, Burgers",4.16,1.0,16
4,Where can I get food on my way to the barbershop?,all,barbershop,Bakeshop,"Bakeries, Desserts, Food, Restaurants",3.02,2.0,17
4,Where can I get food on my way to the barbershop?,all,barbershop,la Madeleine French Bakery & Cafe,"Restaurants, Event Planning & Services, French, Cafes, Food, Bakeries, Breakfast & Brunch, Caterers",3.36,2.0,18
4,Where can I get food on my way to the barbershop?,all,barbershop,Amélie's French Bakery & Café,"Coffee & Tea, French, Restaurants, Patisserie/Cake Shop, Cafes, Bakeries, Food",4.02,1.0,19
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,0
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,1
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,2
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,3
5,Where can I get food on my way to the dancing studio?,all,dancing studio,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,4
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,5
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,6
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,7
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Sun in My Belly,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",3.95,2.0,8
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,9
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,10
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,11
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,12
5,Where can I get food on my way to the dancing studio?,all,dancing studio,True Food Kitchen,"Vegetarian, Restaurants, American (New), Vegan, Salad",4.12,2.0,13
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Cafe Intermezzo - Midtown,"Restaurants, Cafes, Nightlife, Bars, Desserts, Food, Creperies",3.62,2.0,14
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Tassili's Raw Reality,"Live/Raw Food, Restaurants, Vegan",4.35,2.0,15
5,Where can I get food on my way to the dancing studio?,all,dancing studio,Amélie's French Bakery & Café,"Coffee & Tea, French, Restaurants, Patisserie/Cake Shop, Cafes, Bakeries, Food",4.02,1.0,16
5,Where can I get food on my way to the dancing studio?,all,dancing studio,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,17
5,Where can I get food on my way to the dancing studio?,all,dancing studio,South City Kitchen Midtown,"Restaurants, American (New), Southern, Breakfast & Brunch, Gluten-Free",4.33,2.0,18
5,Where can I get food on my way to the dancing studio?,all,dancing studio,la Madeleine French Bakery & Cafe,"Restaurants, Event Planning & Services, French, Cafes, Food, Bakeries, Breakfast & Brunch, Caterers",3.36,2.0,19
6,Where can I get food on my way to the hospital?,all,hospital,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,0
6,Where can I get food on my way to the hospital?,all,hospital,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,1
6,Where can I get food on my way to the hospital?,all,hospital,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,2
6,Where can I get food on my way to the hospital?,all,hospital,Cafe Intermezzo,"American (Traditional), Desserts, Modern European, Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch",3.13,2.0,3
6,Where can I get food on my way to the hospital?,all,hospital,Tassili's Raw Reality,"Live/Raw Food, Restaurants, Vegan",4.35,2.0,4
6,Where can I get food on my way to the hospital?,all,hospital,Chick-fil-A,"Restaurants, Caterers, Event Planning & Services, Fast Food",3.3,1.0,5
6,Where can I get food on my way to the hospital?,all,hospital,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,6
6,Where can I get food on my way to the hospital?,all,hospital,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,7
6,Where can I get food on my way to the hospital?,all,hospital,Fresh To Order,"Salad, Fast Food, Restaurants, Sandwiches, American (New)",3.12,2.0,8
6,Where can I get food on my way to the hospital?,all,hospital,Sweet Hut Bakery & Cafe,"Restaurants, Coffee & Tea, Desserts, Sandwiches, Food, Bakeries",4.08,1.0,9
6,Where can I get food on my way to the hospital?,all,hospital,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,10
6,Where can I get food on my way to the hospital?,all,hospital,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,11
6,Where can I get food on my way to the hospital?,all,hospital,Nature's Table Bistro,"Restaurants, Sandwiches, Fast Food, American (Traditional), Salad",3.48,2.0,12
6,Where can I get food on my way to the hospital?,all,hospital,Atlanta Bread,"Food, Bakeries, Restaurants, Coffee & Tea, Sandwiches",2.73,2.0,13
6,Where can I get food on my way to the hospital?,all,hospital,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,14
6,Where can I get food on my way to the hospital?,all,hospital,Einstein Bros Bagels,"Bagels, Food, Restaurants, Breakfast & Brunch",2.57,1.0,15
6,Where can I get food on my way to the hospital?,all,hospital,Upbeet,"Coffee & Tea, Food, Juice Bars & Smoothies, Restaurants, Vegan, Salad, Acai Bowls",4.29,2.0,16
6,Where can I get food on my way to the hospital?,all,hospital,Panera Bread,"Food, Bagels, Sandwiches, Salad, Restaurants, Soup, Coffee & Tea, Breakfast & Brunch",2.3,1.0,17
6,Where can I get food on my way to the hospital?,all,hospital,Chipotle Mexican Grill,"Mexican, Fast Food, Restaurants",2.47,1.0,18
6,Where can I get food on my way to the hospital?,all,hospital,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,19
7,Where can I get food on my way to the clinic?,all,clinic,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,0
7,Where can I get food on my way to the clinic?,all,clinic,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,1
7,Where can I get food on my way to the clinic?,all,clinic,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,2
7,Where can I get food on my way to the clinic?,all,clinic,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,3
7,Where can I get food on my way to the clinic?,all,clinic,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,4
7,Where can I get food on my way to the clinic?,all,clinic,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,5
7,Where can I get food on my way to the clinic?,all,clinic,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,6
7,Where can I get food on my way to the clinic?,all,clinic,Sweet Hut Bakery & Cafe,"Restaurants, Coffee & Tea, Desserts, Sandwiches, Food, Bakeries",4.08,1.0,7
7,Where can I get food on my way to the clinic?,all,clinic,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,8
7,Where can I get food on my way to the clinic?,all,clinic,Tassili's Raw Reality,"Live/Raw Food, Restaurants, Vegan",4.35,2.0,9
7,Where can I get food on my way to the clinic?,all,clinic,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,10
7,Where can I get food on my way to the clinic?,all,clinic,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,11
7,Where can I get food on my way to the clinic?,all,clinic,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,12
7,Where can I get food on my way to the clinic?,all,clinic,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,13
7,Where can I get food on my way to the clinic?,all,clinic,Upbeet,"Coffee & Tea, Food, Juice Bars & Smoothies, Restaurants, Vegan, Salad, Acai Bowls",4.29,2.0,14
7,Where can I get food on my way to the clinic?,all,clinic,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,15
7,Where can I get food on my way to the clinic?,all,clinic,Goldbergs Fine Foods - Toco Hills,"Event Planning & Services, Bagels, Food, Restaurants, Delis, Caterers, Sandwiches",3.72,2.0,16
7,Where can I get food on my way to the clinic?,all,clinic,Einstein Bros Bagels,"Bagels, Food, Restaurants, Breakfast & Brunch",2.57,1.0,17
7,Where can I get food on my way to the clinic?,all,clinic,Cafe Intermezzo,"American (Traditional), Desserts, Modern European, Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch",3.13,2.0,18
7,Where can I get food on my way to the clinic?,all,clinic,Fresh To Order,"Salad, Fast Food, Restaurants, Sandwiches, American (New)",3.12,2.0,19
8,Where can I get food on my way to the institution?,all,institution,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,0
8,Where can I get food on my way to the institution?,all,institution,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,1
8,Where can I get food on my way to the institution?,all,institution,Cafe Intermezzo,"American (Traditional), Desserts, Modern European, Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch",3.13,2.0,2
8,Where can I get food on my way to the institution?,all,institution,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,3
8,Where can I get food on my way to the institution?,all,institution,Tassili's Raw Reality,"Live/Raw Food, Restaurants, Vegan",4.35,2.0,4
8,Where can I get food on my way to the institution?,all,institution,Chick-fil-A,"Restaurants, Caterers, Event Planning & Services, Fast Food",3.3,1.0,5
